sentence_ID,words,labels,labels_encoded2
10,-,O PUNCT,40
10,To,O ADP,31
10,-,O PUNCT,40
10,Home,B-COMPONENT NOUN,4
10,altitude,O NOUN,35
10,to,O ADP,31
10,nnn,O X,43
10,(,O PUNCT,40
10,nnn,O X,43
10,),O PUNCT,40
11,"""",O PUNCT,40
11,Sprayer,B-COMPONENT NOUN,4
11,turned,O VERB,42
11,OFF,O PART,37
11,",",O PUNCT,40
11,spray,O VERB,42
11,rate,O NOUN,35
11,was,O AUX,33
11,nnn,O X,43
11,liters,O NUM,36
11,/,O PUNCT,40
11,min,O NUM,36
11,"""",O PUNCT,40
12,Sprayer,B-COMPONENT NOUN,4
12,turned,O VERB,42
12,ON,O PART,37
13,Total,O ADJ,30
13,sprayed,O VERB,42
13,:,O PUNCT,40
13,nnn,O X,43
13,L,O X,43
13,/,O PUNCT,40
13,gal,O X,43
13,.,O PUNCT,40
13,nnn,O X,43
13,/,O PUNCT,40
13,acres,O NUM,36
13,nnn,O X,43
13,/,O PUNCT,40
13,gal,O X,43
13,.,O PUNCT,40
13,per,O ADP,31
13,acre,O NOUN,35
14,Your,O PRON,38
14,aircraft,O NOUN,35
14,is,O AUX,33
14,flying,O VERB,42
14,in,O ADP,31
14,an,O PRON,38
14,Altitude,B-PARAMETER NOUN,14
14,Zone,B-COMPONENT NOUN,4
14,(,O PUNCT,40
14,nnn,O X,43
14,),O PUNCT,40
14,.,O PUNCT,40
14,Please,O INTJ,34
14,fly,O VERB,42
14,with,O ADP,31
14,caution,O NOUN,35
15,Accelerator,O NOUN,35
15,is,O AUX,33
15,Over,O ADP,31
15,Range,B-PARAMETER NOUN,14
16,Account,O NOUN,35
16,not,O ADV,32
16,logged,O VERB,42
16,in,O ADP,31
16,.,O PUNCT,40
16,Flight,B-ACTION NOUN,0
16,altitude,O NOUN,35
16,and,O SCONJ,41
16,distance,O NOUN,35
16,restricted,O ADJ,30
16,to,O ADP,31
16,nnn,O X,43
16,and,O SCONJ,41
16,nnn,O X,43
16,.,O PUNCT,40
16,Check,B-ACTION VERB,2
16,and,O SCONJ,41
16,log,O NOUN,35
16,in,O ADP,31
16,(,O PUNCT,40
16,Code,O NOUN,35
16,:,O PUNCT,40
16,3000003,O NUM,36
16,),O PUNCT,40
17,Aircraft,O NOUN,35
17,GPS,O NOUN,35
17,interference,O NOUN,35
17,.,O PUNCT,40
17,Aircraft,O NOUN,35
17,unable,O ADJ,30
17,to,O ADP,31
17,fly,O VERB,42
17,stably,O ADV,32
17,.,O PUNCT,40
17,Land,B-ACTION VERB,2
17,or,O SCONJ,41
17,reutrn,O X,43
17,to,O ADP,31
17,home,O NOUN,35
17,promptly,O ADV,32
17,(,O PUNCT,40
17,Code,O NOUN,35
17,:,O PUNCT,40
17,30245,O NUM,36
17,),O PUNCT,40
18,Aircraft,O NOUN,35
18,in,O ADP,31
18,Altitude,B-PARAMETER NOUN,14
18,Zone,B-COMPONENT NOUN,4
18,(,O PUNCT,40
18,Altitude,B-PARAMETER NOUN,14
18,limit,O NOUN,35
18,:,O PUNCT,40
18,nnn,O X,43
18,),O PUNCT,40
18,.,O PUNCT,40
18,Fly,B-ACTION VERB,2
18,with,O ADP,31
18,caution,O NOUN,35
18,(,O PUNCT,40
18,Code,O NOUN,35
18,:,O PUNCT,40
18,190012,O NUM,36
18,),O PUNCT,40
19,Aircraft,O NOUN,35
19,in,O ADP,31
19,Altitude,B-PARAMETER NOUN,14
19,Zone,B-COMPONENT NOUN,4
19,(,O PUNCT,40
19,nnn,O X,43
19,),O PUNCT,40
19,.,O PUNCT,40
19,Fly,B-ACTION VERB,2
19,with,O ADP,31
19,caution,O NOUN,35
19,(,O PUNCT,40
19,Code,O NOUN,35
19,:,O PUNCT,40
19,190001,O NUM,36
19,),O PUNCT,40
20,Aircraft,O NOUN,35
20,in,O ADP,31
20,Altitude,B-PARAMETER NOUN,14
20,Zone,B-COMPONENT NOUN,4
20,.,O PUNCT,40
20,Max,O ADJ,30
20,altitude,O NOUN,35
20,set,O VERB,42
20,to,O ADP,31
20,nnn,O X,43
20,(,O PUNCT,40
20,Code,O NOUN,35
20,:,O PUNCT,40
20,30015,O NUM,36
20,),O PUNCT,40
21,Aircraft,O NOUN,35
21,in,O ADP,31
21,Attitude,B-PARAMETER NOUN,14
21,mode,O NOUN,35
21,.,O PUNCT,40
21,Unable,O ADJ,30
21,to,O ADP,31
21,hover,O VERB,42
21,.,O PUNCT,40
21,Fly,B-ACTION VERB,2
21,with,O ADP,31
21,caution,O NOUN,35
21,(,O PUNCT,40
21,Code,O NOUN,35
21,:,O PUNCT,40
21,30004,O NUM,36
21,),O PUNCT,40
22,Aircraft,O NOUN,35
22,in,O ADP,31
22,Authorization,B-ISSUE NOUN,10
22,Zone,B-COMPONENT NOUN,4
22,.,O PUNCT,40
22,Exit,B-ACTION NOUN,0
22,zone,O NOUN,35
22,promptly,O ADV,32
22,(,O PUNCT,40
22,Code,O NOUN,35
22,:,O PUNCT,40
22,190004,O NUM,36
22,),O PUNCT,40
23,Aircraft,O NOUN,35
23,in,O ADP,31
23,Authorization,B-ISSUE NOUN,10
23,Zone,B-COMPONENT NOUN,4
23,.,O PUNCT,40
23,Unable,O ADJ,30
23,to,O ADP,31
23,take,O VERB,42
23,off,O PART,37
23,before,O ADP,31
23,unlocking,O VERB,42
23,(,O PUNCT,40
23,Code,O NOUN,35
23,:,O PUNCT,40
23,3000005,O NUM,36
23,),O PUNCT,40
24,Aircraft,O NOUN,35
24,in,O ADP,31
24,Restricted,O ADJ,30
24,Zone,B-COMPONENT NOUN,4
24,.,O PUNCT,40
24,Unable,O ADJ,30
24,to,O ADP,31
24,take,O VERB,42
24,off,O PART,37
24,.,O PUNCT,40
24,Check,B-ACTION VERB,2
24,map,O NOUN,35
24,to,O ADP,31
24,find,O VERB,42
24,Recommended,I-STATE VERB,28
24,Zones,B-COMPONENT NOUN,4
24,(,O PUNCT,40
24,Code,O NOUN,35
24,:,O PUNCT,40
24,3000006,O NUM,36
24,),O PUNCT,40
25,"""",O PUNCT,40
25,Aircraft,O NOUN,35
25,max,O ADJ,30
25,power,O NOUN,35
25,load,O NOUN,35
25,reached,O VERB,42
25,.,O PUNCT,40
25,Decrease,B-ACTION VERB,2
25,altitude,O NOUN,35
25,and,O SCONJ,41
25,fly,O VERB,42
25,with,O ADP,31
25,caution,O NOUN,35
25,.,O PUNCT,40
25,If,O SCONJ,41
25,this,O PRON,38
25,issue,O NOUN,35
25,persists,O VERB,42
25,",",O PUNCT,40
25,land,O VERB,42
25,immediately,O ADV,32
25,(,O PUNCT,40
25,Code,O NOUN,35
25,:,O PUNCT,40
25,30168,O NUM,36
25,),O PUNCT,40
25,"""",O PUNCT,40
26,Aircraft,O NOUN,35
26,not,O ADV,32
26,in,O ADP,31
26,flight,O NOUN,35
26,.,O PUNCT,40
26,Vision,B-COMPONENT NOUN,4
26,system,O NOUN,35
26,and,O SCONJ,41
26,obstacle,O NOUN,35
26,sensing,O VERB,42
26,unavailable,O ADJ,30
26,(,O PUNCT,40
26,Code,O NOUN,35
26,:,O PUNCT,40
26,180059,O NUM,36
26,),O PUNCT,40
27,Aircraft,O NOUN,35
27,not,O ADV,32
27,in,O ADP,31
27,flight,O NOUN,35
27,.,O PUNCT,40
27,Vision,B-COMPONENT NOUN,4
27,systems,O NOUN,35
27,and,O SCONJ,41
27,obstacle,O NOUN,35
27,avoidance,O NOUN,35
27,disabled,O ADJ,30
27,(,O PUNCT,40
27,Code,O NOUN,35
27,:,O PUNCT,40
27,180059,O NUM,36
27,),O PUNCT,40
28,Aircraft,O NOUN,35
28,not,O ADV,32
28,linked,O ADJ,30
28,to,O ADP,31
28,phone,O NOUN,35
28,number,O NOUN,35
28,.,O PUNCT,40
28,Flight,B-ACTION NOUN,0
28,range,O NOUN,35
28,restricted,O ADJ,30
28,.,O PUNCT,40
28,Check,B-ACTION VERB,2
28,and,O SCONJ,41
28,link,O NOUN,35
28,phone,O NOUN,35
28,number,O NOUN,35
28,(,O PUNCT,40
28,Code,O NOUN,35
28,:,O PUNCT,40
28,3000004,O NUM,36
28,),O PUNCT,40
29,Aircraft,O NOUN,35
29,pitch,O NOUN,35
29,angle,O NOUN,35
29,too,O ADV,32
29,large,O ADJ,30
29,.,O PUNCT,40
29,Ensure,B-ACTION VERB,2
29,aircraft,O NOUN,35
29,is,O AUX,33
29,level,O NOUN,35
29,before,O ADP,31
29,taking,O VERB,42
29,off,O PART,37
29,(,O PUNCT,40
29,Code,O NOUN,35
29,:,O PUNCT,40
29,30087,O NUM,36
29,),O PUNCT,40
30,Aircraft,O NOUN,35
30,processor,O NOUN,35
30,overheated,O ADJ,30
30,.,O PUNCT,40
30,Automatically,O ADV,32
30,returning,O VERB,42
30,to,O ADP,31
30,home,O NOUN,35
30,(,O PUNCT,40
30,Code,O NOUN,35
30,:,O PUNCT,40
30,30185,O NUM,36
30,),O PUNCT,40
31,Aircraft,O NOUN,35
31,unable,O ADJ,30
31,to,O ADP,31
31,return,O VERB,42
31,to,O ADP,31
31,home,O NOUN,35
31,automatically,O ADV,32
31,.,O PUNCT,40
31,Lower,O ADJ,30
31,altitude,O NOUN,35
31,immediately,O ADV,32
31,and,O SCONJ,41
31,return,O VERB,42
31,to,O ADP,31
31,home,O NOUN,35
31,manually,O ADV,32
31,(,O PUNCT,40
31,Code,O NOUN,35
31,:,O PUNCT,40
31,120596,O NUM,36
31,),O PUNCT,40
32,AirSense,O PROPN,39
32,communication,O NOUN,35
32,error,O NOUN,35
32,.,O PUNCT,40
32,Unable,O ADJ,30
32,to,O ADP,31
32,display,O NOUN,35
32,nearby,O ADV,32
32,manned,O ADJ,30
32,aircraft,O NOUN,35
32,and,O SCONJ,41
32,anti,O ADJ,30
32,-,O PUNCT,40
32,collision,O NOUN,35
32,warnings,O NOUN,35
32,.,O PUNCT,40
32,Fly,B-ACTION VERB,2
32,with,O ADP,31
32,caution,O NOUN,35
32,(,O PUNCT,40
32,Code,O NOUN,35
32,:,O PUNCT,40
32,30247,O NUM,36
32,),O PUNCT,40
33,Altitude,B-PARAMETER NOUN,14
33,Zone,B-COMPONENT NOUN,4
33,nnn,O X,43
34,Barometer,B-COMPONENT NOUN,4
34,Dead,O ADJ,30
34,in,O ADP,31
34,Air,O NOUN,35
35,Barometer,B-COMPONENT NOUN,4
35,initialization,O NOUN,35
35,failed,O VERB,42
35,.,O PUNCT,40
35,Restart,B-ACTION VERB,2
35,aircraft,O NOUN,35
35,(,O PUNCT,40
35,Code,O NOUN,35
35,:,O PUNCT,40
35,30042,O NUM,36
35,),O PUNCT,40
36,Barometer,B-COMPONENT NOUN,4
36,initialization,O NOUN,35
36,failed,O VERB,42
36,.,O PUNCT,40
36,Restart,B-ACTION VERB,2
36,aircraft,O NOUN,35
36,(,O PUNCT,40
36,Code,O NOUN,35
36,:,O PUNCT,40
36,30047,O NUM,36
36,),O PUNCT,40
37,Battery,B-COMPONENT NOUN,4
37,error,O NOUN,35
37,.,O PUNCT,40
37,Aircraft,O NOUN,35
37,returning,O VERB,42
37,to,O ADP,31
37,home,O NOUN,35
37,automatically,O ADV,32
37,(,O PUNCT,40
37,Code,O NOUN,35
37,:,O PUNCT,40
37,110024,O NUM,36
37,),O PUNCT,40
38,Battery,B-COMPONENT NOUN,4
38,overheating,O ADJ,30
38,.,O PUNCT,40
38,Stop,B-ACTION VERB,2
38,flying,O VERB,42
38,and,O SCONJ,41
38,wait,O VERB,42
38,for,O ADP,31
38,battery,O NOUN,35
38,temperature,O NOUN,35
38,to,O ADP,31
38,return,O VERB,42
38,to,O ADP,31
38,normal,O ADJ,30
38,(,O PUNCT,40
38,Code,O NOUN,35
38,:,O PUNCT,40
38,110002,O NUM,36
38,),O PUNCT,40
39,Battery,B-COMPONENT NOUN,4
39,power,O NOUN,35
39,limit,O NOUN,35
39,will,O AUX,33
39,automatically,O ADV,32
39,reduce,O VERB,42
39,the,O PRON,38
39,aircraft,O NOUN,35
39,'s,O PUNCT,40
39,mobility,O NOUN,35
39,to,O ADP,31
39,ensure,O VERB,42
39,flight,O NOUN,35
39,safety,O NOUN,35
40,Battery,B-COMPONENT NOUN,4
40,power,O NOUN,35
40,restricted,O ADJ,30
40,.,O PUNCT,40
40,Aircraft,O NOUN,35
40,performance,O NOUN,35
40,decreased,O ADJ,30
40,to,O ADP,31
40,ensure,O VERB,42
40,flight,O NOUN,35
40,safety,O NOUN,35
40,.,O PUNCT,40
40,Return,B-ACTION VERB,2
40,to,O ADP,31
40,home,O NOUN,35
40,promptly,O ADV,32
40,(,O PUNCT,40
40,Code,O NOUN,35
40,:,O PUNCT,40
40,110013,O NUM,36
40,),O PUNCT,40
41,Battery,B-COMPONENT NOUN,4
41,temperature,O NOUN,35
41,too,O ADV,32
41,low,O ADJ,30
41,.,O PUNCT,40
41,Fly,B-ACTION VERB,2
41,with,O ADP,31
41,caution,O NOUN,35
41,(,O PUNCT,40
41,Code,O NOUN,35
41,:,O PUNCT,40
41,110023,O NUM,36
41,),O PUNCT,40
42,Battery,B-COMPONENT NOUN,4
42,:,O PUNCT,40
42,Battery,B-COMPONENT NOUN,4
42,Error,B-ISSUE NOUN,10
42,.,O PUNCT,40
42,Return,B-ACTION VERB,2
42,home,O NOUN,35
42,and,O SCONJ,41
42,land,O VERB,42
42,soon,O ADV,32
42,.,O PUNCT,40
42,View,B-COMPONENT NOUN,4
42,the,O PRON,38
42,checklist,O NOUN,35
42,after,O ADP,31
42,landing,O NOUN,35
43,Camera,B-COMPONENT NOUN,4
43,not,O ADV,32
43,calibrated,I-ACTION ADP,21
43,.,O PUNCT,40
43,Image,B-COMPONENT NOUN,4
43,quality,O NOUN,35
43,affected,O ADJ,30
43,.,O PUNCT,40
43,Contact,B-ACTION NOUN,0
43,DJI,B-PARAMETER PROPN,15
43,Support,B-FUNCTION NOUN,7
43,for,O ADP,31
43,assistance,O NOUN,35
43,(,O PUNCT,40
43,Code,O NOUN,35
43,:,O PUNCT,40
43,10016,O NUM,36
43,),O PUNCT,40
44,Camera,B-COMPONENT NOUN,4
44,RCAM,B-STATE PROPN,19
44,not,O ADV,32
44,connected,O ADJ,30
44,.,O PUNCT,40
44,Image,B-COMPONENT NOUN,4
44,quality,O NOUN,35
44,affected,O ADJ,30
44,.,O PUNCT,40
44,Contact,B-ACTION NOUN,0
44,DJI,B-PARAMETER PROPN,15
44,Support,B-FUNCTION NOUN,7
44,for,O ADP,31
44,assistance,O NOUN,35
44,(,O PUNCT,40
44,Code,O NOUN,35
44,:,O PUNCT,40
44,10018,O NUM,36
44,),O PUNCT,40
45,Check,B-ACTION VERB,2
45,whether,O SCONJ,41
45,the,O PRON,38
45,propellers,O NOUN,35
45,are,O AUX,33
45,attached,O ADJ,30
45,to,O ADP,31
45,the,O PRON,38
45,correct,O ADJ,30
45,motors,O NOUN,35
45,based,O ADP,31
45,on,O PART,37
45,their,O PRON,38
45,markings,O NOUN,35
45,.,O PUNCT,40
45,Incorrect,O ADJ,30
45,installation,O NOUN,35
45,will,O AUX,33
45,cause,O VERB,42
45,the,O PRON,38
45,aircraft,O NOUN,35
45,to,O ADP,31
45,roll,O NOUN,35
45,over,O ADP,31
45,during,O ADP,31
45,takeoff,O NOUN,35
45,(,O PUNCT,40
45,Code,O NOUN,35
45,:,O PUNCT,40
45,30251,O NUM,36
45,),O PUNCT,40
46,Compass,B-COMPONENT NOUN,4
46,Error,B-ISSUE NOUN,10
47,Compass,B-COMPONENT NOUN,4
47,error,O NOUN,35
47,.,O PUNCT,40
47,Ensure,B-ACTION VERB,2
47,there,O PRON,38
47,are,O AUX,33
47,no,O PART,37
47,metal,O ADJ,30
47,or,O SCONJ,41
47,magnetic,O ADJ,30
47,objects,O NOUN,35
47,near,O ADP,31
47,the,O PRON,38
47,aircraft,O NOUN,35
47,and,O SCONJ,41
47,calibrate,O VERB,42
47,it,O PRON,38
47,before,O ADP,31
47,use,O VERB,42
47,(,O PUNCT,40
47,Code,O NOUN,35
47,:,O PUNCT,40
47,30060,O NUM,36
47,),O PUNCT,40
48,Compass,B-COMPONENT NOUN,4
48,initialization,O NOUN,35
48,failed,O VERB,42
48,.,O PUNCT,40
48,Restart,B-ACTION VERB,2
48,aircraft,O NOUN,35
48,(,O PUNCT,40
48,Code,O NOUN,35
48,:,O PUNCT,40
48,30063,O NUM,36
48,),O PUNCT,40
49,Critical,O ADJ,30
49,Low,O ADJ,30
49,Battery,B-COMPONENT NOUN,4
49,(,O PUNCT,40
49,Code,O NOUN,35
49,:,O PUNCT,40
49,30032,O NUM,36
49,),O PUNCT,40
50,Critical,O ADJ,30
50,Low,O ADJ,30
50,Battery,B-COMPONENT NOUN,4
50,(,O PUNCT,40
50,Code,O NOUN,35
50,:,O PUNCT,40
50,30183,O NUM,36
50,),O PUNCT,40
51,Critical,O ADJ,30
51,low,O ADJ,30
51,battery,O NOUN,35
51,voltage,O NOUN,35
51,(,O PUNCT,40
51,Code,O NOUN,35
51,:,O PUNCT,40
51,30035,O NUM,36
51,),O PUNCT,40
52,Critical,O ADJ,30
52,low,O ADJ,30
52,battery,O NOUN,35
52,.,O PUNCT,40
52,Aircraft,O NOUN,35
52,in,O ADP,31
52,Auto,B-ACTION PROPN,1
52,Power,B-PARAMETER NOUN,14
52,Off,O PART,37
52,Protection,B-PARAMETER NOUN,14
52,.,O PUNCT,40
52,Forced,O ADJ,30
52,landing,O NOUN,35
52,in,O ADP,31
52,progress,O NOUN,35
52,(,O PUNCT,40
52,Code,O NOUN,35
52,:,O PUNCT,40
52,110014,O NUM,36
52,),O PUNCT,40
53,Critical,O ADJ,30
53,low,O ADJ,30
53,battery,O NOUN,35
53,.,O PUNCT,40
53,Aircraft,O NOUN,35
53,landing,O NOUN,35
53,automatically,O ADV,32
53,(,O PUNCT,40
53,Code,O NOUN,35
53,:,O PUNCT,40
53,30033,O NUM,36
53,),O PUNCT,40
54,Critical,O ADJ,30
54,low,O ADJ,30
54,battery,O NOUN,35
54,.,O PUNCT,40
54,Return,B-ACTION VERB,2
54,to,O ADP,31
54,home,O NOUN,35
54,or,O SCONJ,41
54,land,O VERB,42
54,promptly,O ADV,32
55,Critical,O ADJ,30
55,low,O ADJ,30
55,battery,O NOUN,35
55,.,O PUNCT,40
55,Unable,O ADJ,30
55,to,O ADP,31
55,take,O VERB,42
55,off,O PART,37
55,.,O PUNCT,40
55,Recharge,B-ACTION VERB,2
55,promptly,O ADV,32
55,(,O PUNCT,40
55,Code,O NOUN,35
55,:,O PUNCT,40
55,30032,O NUM,36
55,),O PUNCT,40
56,Current,B-PARAMETER NOUN,14
56,elevation,O NOUN,35
56,above,O ADP,31
56,nnn,O X,43
56,(,O PUNCT,40
56,nnn,O X,43
56,),O PUNCT,40
56,.,O PUNCT,40
56,Fly,B-ACTION VERB,2
56,with,O ADP,31
56,caution,O NOUN,35
56,(,O PUNCT,40
56,Code,O NOUN,35
56,:,O PUNCT,40
56,30153,O NUM,36
56,),O PUNCT,40
57,Current,B-PARAMETER NOUN,14
57,elevation,O NOUN,35
57,above,O ADP,31
57,nnn,O X,43
57,.,O PUNCT,40
57,Fly,B-ACTION VERB,2
57,with,O ADP,31
57,caution,O NOUN,35
57,(,O PUNCT,40
57,Code,O NOUN,35
57,:,O PUNCT,40
57,30152,O NUM,36
57,),O PUNCT,40
58,Data,B-PARAMETER PROPN,15
58,Recorder,B-COMPONENT NOUN,4
58,File,O NOUN,35
58,Index,O NOUN,35
58,is,O AUX,33
58,nnn,O X,43
59,"""",O PUNCT,40
59,Detected,O VERB,42
59,side,O NOUN,35
59,/,O PUNCT,40
59,backward,O ADV,32
59,/,O PUNCT,40
59,forward,O ADV,32
59,shock,O NOUN,35
59,/,O PUNCT,40
59,possible,O ADJ,30
59,collision,O NOUN,35
59,",",O PUNCT,40
59,aircraft,O NOUN,35
59,is,O AUX,33
59,pitching,O VERB,42
59,/,O PUNCT,40
59,rolling,O VERB,42
59,sharply,O ADV,32
59,forward,O ADV,32
59,/,O PUNCT,40
59,backwards,O ADV,32
59,/,O PUNCT,40
59,left,O NOUN,35
59,/,O PUNCT,40
59,right,O NOUN,35
59,"""",O PUNCT,40
60,Disable,B-ACTION VERB,2
60,SD,B-PARAMETER PROPN,15
60,card,O NOUN,35
60,read,O VERB,42
60,and,O SCONJ,41
60,write,O VERB,42
60,protection,O NOUN,35
60,or,O SCONJ,41
60,change,O VERB,42
60,card,O NOUN,35
60,(,O PUNCT,40
60,Code,O NOUN,35
60,:,O PUNCT,40
60,10024,O NUM,36
60,),O PUNCT,40
61,Downlink,B-COMPONENT NOUN,4
61,data,O NOUN,35
61,connection,O NOUN,35
61,lost,O VERB,42
61,for,O ADP,31
61,nnn,O X,43
61,seconds,O NUM,36
62,Downward,O ADJ,30
62,vision,O NOUN,35
62,sensor,O NOUN,35
62,calibration,O NOUN,35
62,error,O NOUN,35
62,.,O PUNCT,40
62,Auto,B-ACTION PROPN,1
62,calibration,O NOUN,35
62,in,O ADP,31
62,progress,O NOUN,35
62,(,O PUNCT,40
62,Code,O NOUN,35
62,:,O PUNCT,40
62,180003,O NUM,36
62,),O PUNCT,40
63,Downward,O ADJ,30
63,vision,O NOUN,35
63,sensor,O NOUN,35
63,error,O NOUN,35
63,.,O PUNCT,40
63,Contact,B-ACTION NOUN,0
63,DJI,B-PARAMETER PROPN,15
63,Support,B-FUNCTION NOUN,7
63,for,O ADP,31
63,assistance,O NOUN,35
63,(,O PUNCT,40
63,Code,O NOUN,35
63,:,O PUNCT,40
63,180016,O NUM,36
63,),O PUNCT,40
64,Downward,O ADJ,30
64,vision,O NOUN,35
64,sensor,O NOUN,35
64,error,O NOUN,35
64,.,O PUNCT,40
64,Contact,B-ACTION NOUN,0
64,DJI,B-PARAMETER PROPN,15
64,Support,B-FUNCTION NOUN,7
64,for,O ADP,31
64,assistance,O NOUN,35
64,(,O PUNCT,40
64,Code,O NOUN,35
64,:,O PUNCT,40
64,180017,O NUM,36
64,),O PUNCT,40
65,Excessive,O ADJ,30
65,gimbal,O NOUN,35
65,vibration,O NOUN,35
65,.,O PUNCT,40
65,Check,B-ACTION VERB,2
65,whether,O SCONJ,41
65,gimbal,O NOUN,35
65,can,O AUX,33
65,rotate,O VERB,42
65,freely,O ADV,32
65,(,O PUNCT,40
65,Code,O NOUN,35
65,:,O PUNCT,40
65,40004,O NUM,36
65,),O PUNCT,40
66,Exiting,B-ACTION VERB,2
66,GPS,O NOUN,35
66,mode,O NOUN,35
66,:,O PUNCT,40
66,Unknown,B-STATE ADJ,16
66,Error,B-ISSUE NOUN,10
67,File,O NOUN,35
67,system,O NOUN,35
67,error,O NOUN,35
67,.,O PUNCT,40
67,Change,B-ACTION VERB,2
67,SD,B-PARAMETER PROPN,15
67,card,O NOUN,35
67,(,O PUNCT,40
67,Code,O NOUN,35
67,:,O PUNCT,40
67,10025,O NUM,36
67,),O PUNCT,40
68,Flight,B-ACTION NOUN,0
68,altitude,O NOUN,35
68,exceeds,O VERB,42
68,nnn,O X,43
68,.,O PUNCT,40
68,Aircraft,O NOUN,35
68,may,O AUX,33
68,be,O AUX,33
68,in,O ADP,31
68,violation,O NOUN,35
68,of,O ADP,31
68,local,O ADJ,30
68,laws,B-ISSUE NOUN,10
68,and,O SCONJ,41
68,regulations,B-ISSUE NOUN,10
68,.,O PUNCT,40
68,Check,B-ACTION VERB,2
68,and,O SCONJ,41
68,make,O VERB,42
68,sure,O ADJ,30
68,you,O PRON,38
68,have,O VERB,42
68,obtained,O VERB,42
68,proper,O ADJ,30
68,authorization,O NOUN,35
68,to,O ADP,31
68,fly,O VERB,42
68,in,O ADP,31
68,this,O PRON,38
68,airspace,B-COMPONENT NOUN,4
68,(,O PUNCT,40
68,Code,O NOUN,35
68,:,O PUNCT,40
68,3000006,O NUM,36
68,),O PUNCT,40
69,Forward,O ADV,32
69,vision,O NOUN,35
69,sensor,O NOUN,35
69,calibration,O NOUN,35
69,error,O NOUN,35
69,.,O PUNCT,40
69,Auto,B-ACTION PROPN,1
69,calibration,O NOUN,35
69,in,O ADP,31
69,progress,O NOUN,35
69,(,O PUNCT,40
69,Code,O NOUN,35
69,:,O PUNCT,40
69,180001,O NUM,36
69,),O PUNCT,40
70,Forward,O ADV,32
70,vision,O NOUN,35
70,sensor,O NOUN,35
70,error,O NOUN,35
70,.,O PUNCT,40
70,Contact,B-ACTION NOUN,0
70,DJI,B-PARAMETER PROPN,15
70,Support,B-FUNCTION NOUN,7
70,for,O ADP,31
70,assistance,O NOUN,35
70,(,O PUNCT,40
70,Code,O NOUN,35
70,:,O PUNCT,40
70,180018,O NUM,36
70,),O PUNCT,40
71,Gimbal,B-COMPONENT NOUN,4
71,calibrating,O,29
71,(,O PUNCT,40
71,Code,O NOUN,35
71,:,O PUNCT,40
71,30217,O NUM,36
71,),O PUNCT,40
72,Gimbal,B-COMPONENT NOUN,4
72,calibration,O NOUN,35
72,error,O NOUN,35
72,.,O PUNCT,40
