,words,Corrected_IOB2_Labels
581,(,O
582,Code,O
583,:,O
584,110023,O
585,),O
586,Battery,B-COMPONENT
587,:,O
588,Battery,B-COMPONENT
589,Error,B-ISSUE
590,.,O
591,Return,B-ACTION
592,home,O
593,and,O
594,land,O
595,soon,O
596,.,O
597,View,B-COMPONENT
598,the,O
599,checklist,O
600,after,O
601,landing,O
602,Camera,B-COMPONENT
603,not,O
604,calibrated,B-ACTION
605,.,O
606,Image,B-COMPONENT
607,quality,O
608,affected,O
609,.,O
610,Contact,B-ACTION
611,DJI,B-PARAMETER
612,Support,B-FUNCTION
613,for,O
614,assistance,O
615,(,O
616,Code,O
617,:,O
618,10016,O
619,),O
620,Camera,B-COMPONENT
621,RCAM,B-STATE
622,not,O
623,connected,O
624,.,O
625,Image,B-COMPONENT
626,quality,O
627,affected,O
628,.,O
629,Contact,B-ACTION
630,DJI,B-PARAMETER
631,Support,B-FUNCTION
632,for,O
633,assistance,O
634,(,O
635,Code,O
636,:,O
637,10018,O
638,),O
639,Check,B-ACTION
640,whether,O
641,the,O
642,propellers,O
643,are,O
644,attached,O
645,to,O
646,the,O
647,correct,O
648,motors,O
649,based,O
650,on,O
651,their,O
652,markings,O
653,.,O
654,Incorrect,O
655,installation,O
656,will,O
657,cause,O
658,the,O
659,aircraft,O
660,to,O
661,roll,O
662,over,O
663,during,O
664,takeoff,O
665,(,O
666,Code,O
667,:,O
668,30251,O
669,),O
670,Compass,B-COMPONENT
671,Error,B-ISSUE
672,Compass,B-COMPONENT
673,error,O
674,.,O
675,Ensure,B-ACTION
676,there,O
677,are,O
678,no,O
679,metal,O
680,or,O
681,magnetic,O
682,objects,O
683,near,O
684,the,O
685,aircraft,O
686,and,O
687,calibrate,O
688,it,O
689,before,O
690,use,O
691,(,O
692,Code,O
693,:,O
694,30060,O
695,),O
696,Compass,B-COMPONENT
697,initialization,O
698,failed,O
699,.,O
700,Restart,B-ACTION
701,aircraft,O
702,(,O
703,Code,O
704,:,O
705,30063,O
706,),O
707,Critical,O
708,Low,O
709,Battery,B-COMPONENT
710,(,O
711,Code,O
712,:,O
713,30032,O
714,),O
715,Critical,O
716,Low,O
717,Battery,B-COMPONENT
718,(,O
719,Code,O
720,:,O
721,30183,O
722,),O
723,Critical,O
724,low,O
725,battery,O
726,voltage,O
727,(,O
728,Code,O
729,:,O
730,30035,O
731,),O
732,Critical,O
733,low,O
734,battery,O
735,.,O
736,Aircraft,O
737,in,O
738,Auto,B-ACTION
739,Power,B-PARAMETER
740,Off,O
741,Protection,B-PARAMETER
742,.,O
743,Forced,O
744,landing,O
745,in,O
746,progress,O
747,(,O
748,Code,O
749,:,O
750,110014,O
751,),O
752,Critical,O
753,low,O
754,battery,O
755,.,O
756,Aircraft,O
757,landing,O
758,automatically,O
759,(,O
760,Code,O
761,:,O
762,30033,O
763,),O
764,Critical,O
765,low,O
766,battery,O
767,.,O
768,Return,B-ACTION
769,to,O
770,home,O
771,or,O
772,land,O
773,promptly,O
774,Critical,O
775,low,O
776,battery,O
777,.,O
778,Unable,O
779,to,O
780,take,O
781,off,O
782,.,O
783,Recharge,B-ACTION
784,promptly,O
785,(,O
786,Code,O
787,:,O
788,30032,O
789,),O
790,Current,B-PARAMETER
791,elevation,O
792,above,O
793,nnn,O
794,(,O
795,nnn,O
796,),O
797,.,O
798,Fly,B-ACTION
799,with,O
800,caution,O
801,(,O
802,Code,O
803,:,O
804,30153,O
805,),O
806,Current,B-PARAMETER
807,elevation,O
808,above,O
809,nnn,O
810,.,O
811,Fly,B-ACTION
812,with,O
813,caution,O
814,(,O
815,Code,O
816,:,O
817,30152,O
818,),O
819,Data,B-PARAMETER
820,Recorder,B-COMPONENT
821,File,O
822,Index,O
823,is,O
824,nnn,O
825,"""",O
826,Detected,O
827,side,O
828,/,O
829,backward,O
830,/,O
831,forward,O
832,shock,O
833,/,O
834,possible,O
835,collision,O
836,",",O
837,aircraft,O
838,is,O
839,pitching,O
840,/,O
841,rolling,O
842,sharply,O
843,forward,O
844,/,O
845,backwards,O
846,/,O
847,left,O
848,/,O
849,right,O
850,"""",O
851,Disable,B-ACTION
852,SD,B-PARAMETER
853,card,O
854,read,O
855,and,O
856,write,O
857,protection,O
858,or,O
859,change,O
860,card,O
861,(,O
862,Code,O
863,:,O
864,10024,O
865,),O
866,Downlink,B-COMPONENT
867,data,O
868,connection,O
869,lost,O
870,for,O
871,nnn,O
872,seconds,O
873,Downward,O
874,vision,O
875,sensor,O
876,calibration,O
877,error,O
878,.,O
879,Auto,B-ACTION
880,calibration,O
881,in,O
882,progress,O
883,(,O
884,Code,O
885,:,O
886,180003,O
887,),O
888,Downward,O
889,vision,O
890,sensor,O
891,error,O
892,.,O
893,Contact,B-ACTION
894,DJI,B-PARAMETER
895,Support,B-FUNCTION
896,for,O
897,assistance,O
898,(,O
899,Code,O
900,:,O
901,180016,O
902,),O
903,Downward,O
904,vision,O
905,sensor,O
906,error,O
907,.,O
908,Contact,B-ACTION
909,DJI,B-PARAMETER
910,Support,B-FUNCTION
911,for,O
912,assistance,O
913,(,O
914,Code,O
915,:,O
916,180017,O
917,),O
918,Excessive,O
919,gimbal,O
920,vibration,O
921,.,O
922,Check,B-ACTION
923,whether,O
924,gimbal,O
925,can,O
926,rotate,O
927,freely,O
928,(,O
929,Code,O
930,:,O
931,40004,O
932,),O
933,Exiting,B-ACTION
934,GPS,O
935,mode,O
936,:,O
937,Unknown,B-STATE
938,Error,B-ISSUE
939,File,O
940,system,O
941,error,O
942,.,O
943,Change,B-ACTION
944,SD,B-PARAMETER
945,card,O
946,(,O
947,Code,O
948,:,O
949,10025,O
950,),O
951,Flight,B-ACTION
952,altitude,O
953,exceeds,O
954,nnn,O
955,.,O
956,Aircraft,O
957,may,O
958,be,O
959,in,O
960,violation,O
961,of,O
962,local,O
963,laws,B-ISSUE
964,and,O
965,regulations,B-ISSUE
966,.,O
967,Check,B-ACTION
968,and,O
969,make,O
970,sure,O
971,you,O
972,have,O
973,obtained,O
974,proper,O
975,authorization,O
976,to,O
977,fly,O
978,in,O
979,this,O
980,airspace,B-COMPONENT
981,(,O
982,Code,O
983,:,O
984,3000006,O
985,),O
986,Forward,O
987,vision,O
988,sensor,O
989,calibration,O
990,error,O
991,.,O
992,Auto,B-ACTION
993,calibration,O
994,in,O
995,progress,O
996,(,O
997,Code,O
998,:,O
999,180001,O
1000,),O
1001,Forward,O
1002,vision,O
1003,sensor,O
1004,error,O
1005,.,O
1006,Contact,B-ACTION
1007,DJI,B-PARAMETER
1008,Support,B-FUNCTION
1009,for,O
1010,assistance,O
1011,(,O
1012,Code,O
1013,:,O
1014,180018,O
1015,),O
1016,Gimbal,B-COMPONENT
1017,calibrating,I-COMPONENT
1018,(,O
1019,Code,O
1020,:,O
1021,30217,O
1022,),O
1023,Gimbal,B-COMPONENT
1024,calibration,O
1025,error,O
1026,.,O
1027,Restart,B-ACTION
1028,aircraft,O
1029,or,O
1030,contact,O
1031,DJI,B-PARAMETER
1032,Support,B-FUNCTION
1033,if,O
1034,the,O
1035,issue,O
1036,persists,O
1037,(,O
1038,Code,O
1039,:,O
1040,40011,O
1041,),O
1042,Gimbal,B-COMPONENT
1043,IMU,B-PARAMETER
1044,data,O
1045,error,O
1046,.,O
1047,Contact,B-ACTION
1048,DJI,B-PARAMETER
1049,Support,B-FUNCTION
1050,for,O
1051,assistance,O
1052,(,O
1053,Code,O
1054,:,O
1055,40021,O
1056,),O
1057,Gimbal,B-COMPONENT
1058,motor,O
1059,overloaded,B-STATE
1060,.,O
1061,Check,B-ACTION
1062,whether,O
1063,gimbal,O
1064,can,O
1065,rotate,O
1066,freely,O
1067,(,O
1068,Code,O
1069,:,O
1070,40003,O
1071,),O
1072,Gimbal,B-COMPONENT
1073,stuck,B-STATE
1074,.,O
1075,Check,B-ACTION
1076,whether,O
1077,gimbal,O
1078,lock,B-STATE
1079,is,O
1080,removed,B-ACTION
1081,and,O
1082,ensure,O
1083,gimbal,O
1084,can,O
1085,rotate,O
1086,freely,O
1087,(,O
1088,Code,O
1089,:,O
1090,40002,O
1091,),O
1092,GPS,O
1093,signal,O
1094,weak,O
1095,.,O
1096,Fly,B-ACTION
1097,with,O
1098,caution,O
1099,.,O
1100,Aircraft,O
1101,in,O
1102,Altitude,B-PARAMETER
1103,Zone,B-COMPONENT
1104,.,O
1105,Max,O
1106,altitude,O
1107,set,O
1108,to,O
1109,nnn,O
1110,(,O
1111,Code,O
1112,:,O
1113,30014,O
1114,),O
1115,GPS,O
1116,signal,O
1117,weak,O
1118,.,O
1119,Hovering,B-ISSUE
1120,unstable,B-STATE
1121,.,O
1122,Fly,B-ACTION
1123,with,O
1124,caution,O
1125,(,O
1126,Code,O
1127,:,O
1128,30002,O
1129,),O
1130,GPS,O
1131,signal,O
1132,weak,O
1133,.,O
1134,Positioning,B-ACTION
1135,accuracy,B-PARAMETER
1136,affected,O
1137,.,O
1138,Fly,B-ACTION
1139,with,O
1140,caution,O
1141,(,O
1142,Code,O
1143,:,O
1144,30049,O
1145,),O
1146,Gyroscope,B-PARAMETER
1147,initialization,O
1148,failed,O
1149,.,O
1150,Restart,B-ACTION
1151,aircraft,O
1152,(,O
1153,Code,O
1154,:,O
1155,30045,O
1156,),O
1157,Home,B-COMPONENT
1158,Point,B-STATE
1159,updated,B-ACTION
1160,(,O
1161,Code,O
1162,:,O
1163,120852,O
1164,),O
1165,Home,B-COMPONENT
1166,Point,B-STATE
1167,updated,B-ACTION
1168,.,O
1169,RTH,B-STATE
1170,altitude,O
1171,adjusted,B-ACTION
1172,to,O
1173,nnn,O
1174,(,O
1175,Code,O
1176,:,O
1177,120852,O
1178,),O
1179,Home,B-COMPONENT
1180,Point,B-STATE
1181,updated,B-ACTION
1182,.,O
1183,RTH,B-STATE
1184,altitude,O
1185,adjusted,B-ACTION
1186,to,O
1187,nnn,O
1188,(,O
1189,Code,O
1190,:,O
1191,3000001,O
1192,),O
1193,Homepoint,B-COMPONENT
1194,updated,B-ACTION
1195,Homepoint,B-COMPONENT
1196,updated,B-ACTION
1197,.,O
1198,RTH,B-STATE
1199,altitude,O
1200,adjusted,B-ACTION
1201,to,O
1202,nnn,O
1203,(,O
1204,Code,O
1205,:,O
1206,3000001,O
1207,),O
1208,Image,B-COMPONENT
1209,transmission,I-COMPONENT
1210,signal,O
1211,lost,O
1212,(,O
1213,Code,O
1214,:,O
1215,80001,O
1216,),O
1217,IMU,B-PARAMETER
1218,attitude,O
1219,restricted,O
1220,.,O
1221,Ensure,B-ACTION
1222,aircraft,O
1223,is,O
1224,level,O
1225,(,O
1226,Code,O
1227,:,O
1228,30082,O
1229,),O
1230,IMU,B-PARAMETER
1231,calibration,O
1232,required,B-ACTION
1233,.,O
1234,Calibrate,B-ACTION
1235,IMU,B-PARAMETER
1236,(,O
1237,Code,O
1238,:,O
1239,30050,O
1240,),O
1241,IMU,B-PARAMETER
1242,not,O
1243,calibrated,B-ACTION
1244,.,O
1245,Calibrate,B-ACTION
1246,IMU,B-PARAMETER
1247,(,O
1248,Code,O
1249,:,O
1250,30055,O
1251,),O
1252,Insufficient,B-PARAMETER
1253,SD,I-PARAMETER
1254,card,O
1255,space,B-COMPONENT
1256,.,O
1257,Change,B-ACTION
1258,card,O
1259,or,O
1260,delete,B-ACTION
1261,files,B-COMPONENT
1262,(,O
1263,Code,O
1264,:,O
1265,10035,O
1266,),O
1267,Lighting,B-COMPONENT
1268,environment,B-STATE
1269,too,O
1270,dark,B-STATE
1271,.,O
1272,Vision,B-COMPONENT
1273,System,I-COMPONENT
1274,unavailable,O
1275,.,O
1276,Fly,B-ACTION
1277,with,O
1278,caution,O
1279,(,O
1280,Code,O
1281,:,O
1282,180037,O
1283,),O
1284,Low,O
1285,battery,O
1286,.,O
1287,Recharge,B-ACTION
1288,promptly,O
1289,(,O
1290,Code,O
1291,:,O
1292,30079,O
1293,),O
1294,Manned,O
1295,aircraft,O
1296,approaching,B-ACTION
1297,.,O
1298,Fly,B-ACTION
1299,at,O
1300,a,O
1301,safe,O
1302,altitude,O
1303,(,O
1304,Code,O
1305,:,O
1306,30180,O
1307,),O
1308,Manned,O
1309,aircraft,O
1310,detected,O
1311,nearby,O
1312,.,O
1313,Fly,B-ACTION
1314,with,O
1315,caution,O
1316,(,O
1317,Code,O
1318,:,O
1319,30179,O
1320,),O
1321,Manned,O
1322,aircraft,O
1323,too,O
1324,close,B-ACTION
1325,.,O
1326,Fly,B-ACTION
1327,at,O
1328,a,O
1329,safe,O
1330,altitude,O
1331,(,O
1332,Code,O
1333,:,O
1334,30181,O
1335,),O
1336,Max,O
1337,altitude,O
1338,reached,O
1339,(,O
1340,Altitude,B-PARAMETER
1341,limit,O
1342,:,O
1343,nnn,O
1344,),O
1345,(,O
1346,Code,O
1347,:,O
1348,20000001,O
1349,),O
1350,Mobile,B-COMPONENT
1351,device,I-COMPONENT
1352,CPU,B-PARAMETER
1353,fully,O
1354,loaded,B-ACTION
1355,.,O
1356,Related,B-FUNCTION
1357,performance,O
1358,will,O
1359,be,O
1360,affected,O
1361,Motor,B-COMPONENT
1362,error,O
1363,.,O
1364,Check,B-ACTION
1365,propellers,O
1366,and,O
1367,fly,O
1368,with,O
1369,caution,O
1370,(,O
1371,Code,O
1372,:,O
1373,120652,O
1374,),O
1375,Motor,B-COMPONENT
1376,idle,B-STATE
1377,.,O
1378,Check,B-ACTION
1379,whether,O
1380,propellers,O
1381,are,O
1382,installed,B-ACTION
1383,(,O
1384,Code,O
1385,:,O
1386,30166,O
1387,),O
1388,Motor,B-COMPONENT
1389,is,O
1390,Blocked,B-ISSUE
1391,Motor,B-COMPONENT
1392,is,O
1393,Blocked,B-ISSUE
1394,.,O
1395,Motor,B-COMPONENT
1396,stuck,B-STATE
1397,.,O
1398,Check,B-ACTION
1399,for,O
1400,objects,O
1401,blocking,B-ACTION
1402,motor,O
1403,or,O
1404,contact,O
1405,DJI,B-PARAMETER
1406,Support,B-FUNCTION
1407,for,O
1408,assistance,O
1409,(,O
1410,Code,O
1411,:,O
1412,30165,O
1413,),O
1414,Motor,B-COMPONENT
1415,stuck,B-STATE
1416,.,O
1417,Check,B-ACTION
1418,for,O
1419,objects,O
1420,blocking,B-ACTION
1421,motor,O
1422,or,O
1423,contact,O
1424,DJI,B-PARAMETER
1425,Support,B-FUNCTION
1426,for,O
1427,assistance,O
1428,(,O
1429,Code,O
1430,:,O
1431,30165,O
1432,),O
1433,Motor,B-COMPONENT
1434,unable,O
1435,to,O
1436,rotate,O
1437,.,O
1438,Check,B-ACTION
1439,for,O
1440,objects,O
1441,blocking,B-ACTION
1442,motor,O
1443,or,O
1444,contact,O
1445,DJI,B-PARAMETER
1446,Support,B-FUNCTION
1447,for,O
1448,assistance,O
1449,(,O
1450,Code,O
1451,:,O
1452,30165,O
1453,),O
1454,Motor,B-COMPONENT
1455,unable,O
1456,to,O
1457,rotate,O
1458,.,O
1459,Check,B-ACTION
1460,motor,O
1461,(,O
1462,Code,O
1463,:,O
1464,30142,O
1465,),O
1466,No,O
1467,GPS,O
1468,signal,O
1469,.,O
1470,Aircraft,O
1471,unable,O
1472,to,O
1473,hover,O
1474,.,O
1475,Fly,B-ACTION
1476,with,O
1477,caution,O
1478,(,O
1479,Code,O
1480,:,O
1481,30008,O
1482,),O
1483,No,O
1484,GPS,O
1485,signal,O
1486,.,O
1487,Unable,O
1488,to,O
1489,hover,O
1490,.,O
1491,Fly,B-ACTION
1492,with,O
1493,caution,O
1494,(,O
1495,Code,O
1496,:,O
1497,30007,O
1498,),O
1499,No,O
1500,SD,B-PARAMETER
1501,card,O
1502,.,O
1503,Insert,B-ACTION
1504,card,O
1505,(,O
1506,Code,O
1507,:,O
1508,10022,O
1509,),O
1510,Not,O
1511,Enough,B-ISSUE
1512,Force,B-PARAMETER
1513,/,O
1514,ESC,B-STATE
1515,Error,B-ISSUE
1516,Propeller,B-COMPONENT
1517,Fell,B-ACTION
1518,Off,O
1519,Propeller,B-COMPONENT
1520,Fell,B-ACTION
1521,Off,O
1522,.,O
1523,Motor,B-COMPONENT
1524,idle,B-STATE
1525,.,O
1526,Check,B-ACTION
1527,whether,O
1528,propellers,O
1529,are,O
1530,installed,B-ACTION
1531,(,O
1532,Code,O
1533,:,O
1534,30166,O
1535,),O
1536,Propellers,B-COMPONENT
1537,not,O
1538,installed,B-ACTION
1539,(,O
1540,Code,O
1541,:,O
1542,30144,O
1543,),O
1544,Remote,B-COMPONENT
1545,controller,O
1546,battery,O
1547,level,O
1548,low,O
1549,.,O
1550,Recharge,B-ACTION
1551,promptly,O
1552,(,O
1553,Code,O
1554,:,O
1555,60001,O
1556,),O
1557,Remote,B-COMPONENT
1558,controller,O
1559,in,O
1560,high,O
1561,interference,O
1562,environment,B-STATE
1563,.,O
1564,Manually,O
1565,adjust,B-ACTION
1566,flight,O
1567,route,B-PARAMETER
1568,or,O
1569,return,O
1570,to,O
1571,home,O
1572,(,O
1573,Code,O
1574,:,O
1575,80014,O
1576,),O
1577,Remote,B-COMPONENT
1578,controller,O
1579,signal,O
1580,lost,O
1581,(,O
1582,Code,O
1583,:,O
1584,30029,O
1585,),O
1586,Remote,B-COMPONENT
1587,controller,O
1588,signal,O
1589,weak,O
1590,.,O
1591,Adjust,B-ACTION
1592,remote,O
1593,controller,O
1594,antennas,O
1595,(,O
1596,Code,O
1597,:,O
1598,80002,O
1599,),O
1600,Remote,B-COMPONENT
1601,ID,B-PARAMETER
1602,error,O
1603,.,O
1604,Connect,B-ACTION
1605,to,O
1606,network,B-COMPONENT
1607,to,O
1608,obtain,B-ACTION
1609,mobile,B-COMPONENT
1610,device,I-COMPONENT
1611,location,B-PARAMETER
1612,.,O
1613,Flying,B-ACTION
1614,without,O
1615,broadcasting,B-ACTION
1616,required,I-ACTION
1617,remote,O
1618,ID,B-PARAMETER
1619,messages,I-PARAMETER
1620,may,O
1621,violate,B-ACTION
1622,local,O
1623,regulations,B-ISSUE
1624,(,O
1625,Code,O
1626,:,O
1627,1B080001,O
1628,),O
1629,Remote,B-COMPONENT
1630,ID,B-PARAMETER
1631,error,O
1632,.,O
1633,Connect,B-ACTION
1634,to,O
1635,network,B-COMPONENT
1636,to,O
1637,obtain,B-ACTION
1638,mobile,B-COMPONENT
1639,device,I-COMPONENT
1640,location,B-PARAMETER
1641,.,O
1642,Flying,B-ACTION
1643,without,O
1644,broadcasting,B-ACTION
1645,required,I-ACTION
1646,remote,O
1647,ID,B-PARAMETER
1648,messages,I-PARAMETER
1649,may,O
1650,violate,B-ACTION
1651,local,O
1652,regulations,B-ISSUE
1653,(,O
1654,Code,O
1655,:,O
1656,30334,O
1657,),O
1658,Remote,B-COMPONENT
1659,ID,B-PARAMETER
1660,error,O
1661,.,O
1662,Contact,B-ACTION
1663,DJI,B-PARAMETER
