sentence_ID,words,labels
14,Altitude,B-PARAMETER NOUN
14,Zone,B-COMPONENT NOUN
14,(,O PUNCT
14,nnn,O X
14,),O PUNCT
14,.,O PUNCT
14,Please,O INTJ
14,fly,O VERB
14,with,O ADP
14,caution,O NOUN
15,Accelerator,O NOUN
15,is,O AUX
15,Over,O ADP
15,Range,B-PARAMETER NOUN
16,Account,O NOUN
16,not,O ADV
16,logged,O VERB
16,in,O ADP
16,.,O PUNCT
16,Flight,B-ACTION NOUN
16,altitude,O NOUN
16,and,O SCONJ
16,distance,O NOUN
16,restricted,O ADJ
16,to,O ADP
16,nnn,O X
16,and,O SCONJ
16,nnn,O X
16,.,O PUNCT
16,Check,B-ACTION VERB
16,and,O SCONJ
16,log,O NOUN
16,in,O ADP
16,(,O PUNCT
16,Code,O NOUN
16,:,O PUNCT
16,3000003,O NUM
16,),O PUNCT
17,Aircraft,O NOUN
17,GPS,O NOUN
17,interference,O NOUN
17,.,O PUNCT
17,Aircraft,O NOUN
17,unable,O ADJ
17,to,O ADP
17,fly,O VERB
17,stably,O ADV
17,.,O PUNCT
17,Land,B-ACTION VERB
17,or,O SCONJ
17,reutrn,O X
17,to,O ADP
17,home,O NOUN
17,promptly,O ADV
17,(,O PUNCT
17,Code,O NOUN
17,:,O PUNCT
17,30245,O NUM
17,),O PUNCT
18,Aircraft,O NOUN
18,in,O ADP
18,Altitude,B-PARAMETER NOUN
18,Zone,B-COMPONENT NOUN
18,(,O PUNCT
18,Altitude,B-PARAMETER NOUN
18,limit,O NOUN
18,:,O PUNCT
18,nnn,O X
18,),O PUNCT
18,.,O PUNCT
18,Fly,B-ACTION VERB
18,with,O ADP
18,caution,O NOUN
18,(,O PUNCT
18,Code,O NOUN
18,:,O PUNCT
18,190012,O NUM
18,),O PUNCT
19,Aircraft,O NOUN
19,in,O ADP
19,Altitude,B-PARAMETER NOUN
19,Zone,B-COMPONENT NOUN
19,(,O PUNCT
19,nnn,O X
19,),O PUNCT
19,.,O PUNCT
19,Fly,B-ACTION VERB
19,with,O ADP
19,caution,O NOUN
19,(,O PUNCT
19,Code,O NOUN
19,:,O PUNCT
19,190001,O NUM
19,),O PUNCT
20,Aircraft,O NOUN
20,in,O ADP
20,Altitude,B-PARAMETER NOUN
20,Zone,B-COMPONENT NOUN
20,.,O PUNCT
20,Max,O ADJ
20,altitude,O NOUN
20,set,O VERB
20,to,O ADP
20,nnn,O X
20,(,O PUNCT
20,Code,O NOUN
20,:,O PUNCT
20,30015,O NUM
20,),O PUNCT
21,Aircraft,O NOUN
21,in,O ADP
21,Attitude,B-PARAMETER NOUN
21,mode,O NOUN
21,.,O PUNCT
21,Unable,O ADJ
21,to,O ADP
21,hover,O VERB
21,.,O PUNCT
21,Fly,B-ACTION VERB
21,with,O ADP
21,caution,O NOUN
21,(,O PUNCT
21,Code,O NOUN
21,:,O PUNCT
21,30004,O NUM
21,),O PUNCT
22,Aircraft,O NOUN
22,in,O ADP
22,Authorization,B-ISSUE NOUN
22,Zone,B-COMPONENT NOUN
22,.,O PUNCT
22,Exit,B-ACTION NOUN
22,zone,O NOUN
22,promptly,O ADV
22,(,O PUNCT
22,Code,O NOUN
22,:,O PUNCT
22,190004,O NUM
22,),O PUNCT
23,Aircraft,O NOUN
23,in,O ADP
23,Authorization,B-ISSUE NOUN
23,Zone,B-COMPONENT NOUN
23,.,O PUNCT
23,Unable,O ADJ
23,to,O ADP
23,take,O VERB
23,off,O PART
23,before,O ADP
23,unlocking,O VERB
23,(,O PUNCT
23,Code,O NOUN
23,:,O PUNCT
23,3000005,O NUM
23,),O PUNCT
24,Aircraft,O NOUN
24,in,O ADP
24,Restricted,O ADJ
24,Zone,B-COMPONENT NOUN
24,.,O PUNCT
24,Unable,O ADJ
24,to,O ADP
24,take,O VERB
24,off,O PART
24,.,O PUNCT
24,Check,B-ACTION VERB
24,map,O NOUN
24,to,O ADP
24,find,O VERB
24,Recommended,I-STATE VERB
24,Zones,B-COMPONENT NOUN
24,(,O PUNCT
24,Code,O NOUN
24,:,O PUNCT
24,3000006,O NUM
24,),O PUNCT
25,"""",O PUNCT
25,Aircraft,O NOUN
25,max,O ADJ
25,power,O NOUN
25,load,O NOUN
25,reached,O VERB
25,.,O PUNCT
25,Decrease,B-ACTION VERB
25,altitude,O NOUN
25,and,O SCONJ
25,fly,O VERB
25,with,O ADP
25,caution,O NOUN
25,.,O PUNCT
25,If,O SCONJ
25,this,O PRON
25,issue,O NOUN
25,persists,O VERB
25,",",O PUNCT
25,land,O VERB
25,immediately,O ADV
25,(,O PUNCT
25,Code,O NOUN
25,:,O PUNCT
25,30168,O NUM
25,),O PUNCT
25,"""",O PUNCT
26,Aircraft,O NOUN
26,not,O ADV
26,in,O ADP
26,flight,O NOUN
26,.,O PUNCT
26,Vision,B-COMPONENT NOUN
26,system,O NOUN
26,and,O SCONJ
26,obstacle,O NOUN
26,sensing,O VERB
26,unavailable,O ADJ
26,(,O PUNCT
26,Code,O NOUN
26,:,O PUNCT
26,180059,O NUM
26,),O PUNCT
27,Aircraft,O NOUN
27,not,O ADV
27,in,O ADP
27,flight,O NOUN
27,.,O PUNCT
27,Vision,B-COMPONENT NOUN
27,systems,O NOUN
27,and,O SCONJ
27,obstacle,O NOUN
27,avoidance,O NOUN
27,disabled,O ADJ
27,(,O PUNCT
27,Code,O NOUN
27,:,O PUNCT
27,180059,O NUM
27,),O PUNCT
28,Aircraft,O NOUN
28,not,O ADV
28,linked,O ADJ
28,to,O ADP
28,phone,O NOUN
28,number,O NOUN
28,.,O PUNCT
28,Flight,B-ACTION NOUN
28,range,O NOUN
28,restricted,O ADJ
28,.,O PUNCT
28,Check,B-ACTION VERB
28,and,O SCONJ
28,link,O NOUN
28,phone,O NOUN
28,number,O NOUN
28,(,O PUNCT
28,Code,O NOUN
28,:,O PUNCT
28,3000004,O NUM
28,),O PUNCT
29,Aircraft,O NOUN
29,pitch,O NOUN
29,angle,O NOUN
29,too,O ADV
29,large,O ADJ
29,.,O PUNCT
29,Ensure,B-ACTION VERB
29,aircraft,O NOUN
29,is,O AUX
29,level,O NOUN
29,before,O ADP
29,taking,O VERB
29,off,O PART
29,(,O PUNCT
29,Code,O NOUN
29,:,O PUNCT
29,30087,O NUM
29,),O PUNCT
30,Aircraft,O NOUN
30,processor,O NOUN
30,overheated,O ADJ
30,.,O PUNCT
30,Automatically,O ADV
30,returning,O VERB
30,to,O ADP
30,home,O NOUN
30,(,O PUNCT
30,Code,O NOUN
30,:,O PUNCT
30,30185,O NUM
30,),O PUNCT
31,Aircraft,O NOUN
31,unable,O ADJ
31,to,O ADP
31,return,O VERB
31,to,O ADP
31,home,O NOUN
31,automatically,O ADV
31,.,O PUNCT
31,Lower,O ADJ
31,altitude,O NOUN
31,immediately,O ADV
31,and,O SCONJ
31,return,O VERB
31,to,O ADP
31,home,O NOUN
31,manually,O ADV
31,(,O PUNCT
31,Code,O NOUN
31,:,O PUNCT
31,120596,O NUM
31,),O PUNCT
32,AirSense,O PROPN
32,communication,O NOUN
32,error,O NOUN
32,.,O PUNCT
32,Unable,O ADJ
32,to,O ADP
32,display,O NOUN
32,nearby,O ADV
32,manned,O ADJ
32,aircraft,O NOUN
32,and,O SCONJ
32,anti,O ADJ
32,-,O PUNCT
32,collision,O NOUN
32,warnings,O NOUN
32,.,O PUNCT
32,Fly,B-ACTION VERB
32,with,O ADP
32,caution,O NOUN
32,(,O PUNCT
32,Code,O NOUN
32,:,O PUNCT
32,30247,O NUM
32,),O PUNCT
33,Altitude,B-PARAMETER NOUN
33,Zone,B-COMPONENT NOUN
33,nnn,O X
34,Barometer,B-COMPONENT NOUN
34,Dead,O ADJ
34,in,O ADP
34,Air,O NOUN
35,Barometer,B-COMPONENT NOUN
35,initialization,O NOUN
35,failed,O VERB
35,.,O PUNCT
35,Restart,B-ACTION VERB
35,aircraft,O NOUN
35,(,O PUNCT
35,Code,O NOUN
35,:,O PUNCT
35,30042,O NUM
35,),O PUNCT
36,Barometer,B-COMPONENT NOUN
36,initialization,O NOUN
36,failed,O VERB
36,.,O PUNCT
36,Restart,B-ACTION VERB
36,aircraft,O NOUN
36,(,O PUNCT
36,Code,O NOUN
36,:,O PUNCT
36,30047,O NUM
36,),O PUNCT
37,Battery,B-COMPONENT NOUN
37,error,O NOUN
37,.,O PUNCT
37,Aircraft,O NOUN
37,returning,O VERB
37,to,O ADP
37,home,O NOUN
37,automatically,O ADV
37,(,O PUNCT
37,Code,O NOUN
37,:,O PUNCT
37,110024,O NUM
37,),O PUNCT
38,Battery,B-COMPONENT NOUN
38,overheating,O ADJ
38,.,O PUNCT
38,Stop,B-ACTION VERB
38,flying,O VERB
38,and,O SCONJ
38,wait,O VERB
38,for,O ADP
38,battery,O NOUN
38,temperature,O NOUN
38,to,O ADP
38,return,O VERB
38,to,O ADP
38,normal,O ADJ
38,(,O PUNCT
38,Code,O NOUN
38,:,O PUNCT
38,110002,O NUM
38,),O PUNCT
39,Battery,B-COMPONENT NOUN
39,power,O NOUN
39,limit,O NOUN
39,will,O AUX
39,automatically,O ADV
39,reduce,O VERB
39,the,O PRON
39,aircraft,O NOUN
39,'s,O PUNCT
39,mobility,O NOUN
39,to,O ADP
39,ensure,O VERB
39,flight,O NOUN
39,safety,O NOUN
40,Battery,B-COMPONENT NOUN
40,power,O NOUN
40,restricted,O ADJ
40,.,O PUNCT
40,Aircraft,O NOUN
40,performance,O NOUN
40,decreased,O ADJ
40,to,O ADP
40,ensure,O VERB
40,flight,O NOUN
40,safety,O NOUN
40,.,O PUNCT
40,Return,B-ACTION VERB
40,to,O ADP
40,home,O NOUN
40,promptly,O ADV
40,(,O PUNCT
40,Code,O NOUN
40,:,O PUNCT
40,110013,O NUM
40,),O PUNCT
41,Battery,B-COMPONENT NOUN
41,temperature,O NOUN
41,too,O ADV
41,low,O ADJ
41,.,O PUNCT
41,Fly,B-ACTION VERB
41,with,O ADP
41,caution,O NOUN
41,(,O PUNCT
41,Code,O NOUN
41,:,O PUNCT
41,110023,O NUM
41,),O PUNCT
42,Battery,B-COMPONENT NOUN
42,:,O PUNCT
42,Battery,B-COMPONENT NOUN
42,Error,B-ISSUE NOUN
42,.,O PUNCT
42,Return,B-ACTION VERB
42,home,O NOUN
42,and,O SCONJ
42,land,O VERB
42,soon,O ADV
42,.,O PUNCT
42,View,B-COMPONENT NOUN
42,the,O PRON
42,checklist,O NOUN
42,after,O ADP
42,landing,O NOUN
43,Camera,B-COMPONENT NOUN
43,not,O ADV
43,calibrated,I-ACTION ADP
43,.,O PUNCT
43,Image,B-COMPONENT NOUN
43,quality,O NOUN
43,affected,O ADJ
43,.,O PUNCT
43,Contact,B-ACTION NOUN
43,DJI,B-PARAMETER PROPN
43,Support,B-FUNCTION NOUN
43,for,O ADP
43,assistance,O NOUN
43,(,O PUNCT
43,Code,O NOUN
43,:,O PUNCT
43,10016,O NUM
43,),O PUNCT
44,Camera,B-COMPONENT NOUN
44,RCAM,B-STATE PROPN
44,not,O ADV
44,connected,O ADJ
44,.,O PUNCT
44,Image,B-COMPONENT NOUN
44,quality,O NOUN
44,affected,O ADJ
44,.,O PUNCT
44,Contact,B-ACTION NOUN
44,DJI,B-PARAMETER PROPN
44,Support,B-FUNCTION NOUN
44,for,O ADP
44,assistance,O NOUN
44,(,O PUNCT
44,Code,O NOUN
44,:,O PUNCT
44,10018,O NUM
44,),O PUNCT
45,Check,B-ACTION VERB
45,whether,O SCONJ
45,the,O PRON
45,propellers,O NOUN
45,are,O AUX
45,attached,O ADJ
45,to,O ADP
45,the,O PRON
45,correct,O ADJ
45,motors,O NOUN
45,based,O ADP
45,on,O PART
45,their,O PRON
45,markings,O NOUN
45,.,O PUNCT
45,Incorrect,O ADJ
45,installation,O NOUN
45,will,O AUX
45,cause,O VERB
45,the,O PRON
45,aircraft,O NOUN
45,to,O ADP
45,roll,O NOUN
45,over,O ADP
45,during,O ADP
45,takeoff,O NOUN
45,(,O PUNCT
45,Code,O NOUN
45,:,O PUNCT
45,30251,O NUM
45,),O PUNCT
46,Compass,B-COMPONENT NOUN
46,Error,B-ISSUE NOUN
47,Compass,B-COMPONENT NOUN
47,error,O NOUN
47,.,O PUNCT
47,Ensure,B-ACTION VERB
47,there,O PRON
47,are,O AUX
47,no,O PART
47,metal,O ADJ
47,or,O SCONJ
47,magnetic,O ADJ
47,objects,O NOUN
47,near,O ADP
47,the,O PRON
47,aircraft,O NOUN
47,and,O SCONJ
47,calibrate,O VERB
47,it,O PRON
47,before,O ADP
47,use,O VERB
47,(,O PUNCT
47,Code,O NOUN
47,:,O PUNCT
47,30060,O NUM
47,),O PUNCT
48,Compass,B-COMPONENT NOUN
48,initialization,O NOUN
48,failed,O VERB
48,.,O PUNCT
48,Restart,B-ACTION VERB
48,aircraft,O NOUN
48,(,O PUNCT
48,Code,O NOUN
48,:,O PUNCT
48,30063,O NUM
48,),O PUNCT
49,Critical,O ADJ
49,Low,O ADJ
49,Battery,B-COMPONENT NOUN
49,(,O PUNCT
49,Code,O NOUN
49,:,O PUNCT
49,30032,O NUM
49,),O PUNCT
50,Critical,O ADJ
50,Low,O ADJ
50,Battery,B-COMPONENT NOUN
50,(,O PUNCT
50,Code,O NOUN
50,:,O PUNCT
50,30183,O NUM
50,),O PUNCT
51,Critical,O ADJ
51,low,O ADJ
51,battery,O NOUN
51,voltage,O NOUN
51,(,O PUNCT
51,Code,O NOUN
51,:,O PUNCT
51,30035,O NUM
51,),O PUNCT
52,Critical,O ADJ
52,low,O ADJ
52,battery,O NOUN
52,.,O PUNCT
52,Aircraft,O NOUN
52,in,O ADP
52,Auto,B-ACTION PROPN
52,Power,B-PARAMETER NOUN
52,Off,O PART
52,Protection,B-PARAMETER NOUN
52,.,O PUNCT
52,Forced,O ADJ
52,landing,O NOUN
52,in,O ADP
52,progress,O NOUN
52,(,O PUNCT
52,Code,O NOUN
52,:,O PUNCT
52,110014,O NUM
52,),O PUNCT
53,Critical,O ADJ
53,low,O ADJ
53,battery,O NOUN
53,.,O PUNCT
53,Aircraft,O NOUN
53,landing,O NOUN
53,automatically,O ADV
53,(,O PUNCT
53,Code,O NOUN
53,:,O PUNCT
53,30033,O NUM
53,),O PUNCT
54,Critical,O ADJ
54,low,O ADJ
54,battery,O NOUN
54,.,O PUNCT
54,Return,B-ACTION VERB
54,to,O ADP
54,home,O NOUN
54,or,O SCONJ
54,land,O VERB
54,promptly,O ADV
55,Critical,O ADJ
55,low,O ADJ
55,battery,O NOUN
55,.,O PUNCT
55,Unable,O ADJ
55,to,O ADP
55,take,O VERB
55,off,O PART
55,.,O PUNCT
55,Recharge,B-ACTION VERB
55,promptly,O ADV
55,(,O PUNCT
55,Code,O NOUN
55,:,O PUNCT
55,30032,O NUM
55,),O PUNCT
56,Current,B-PARAMETER NOUN
56,elevation,O NOUN
56,above,O ADP
56,nnn,O X
56,(,O PUNCT
56,nnn,O X
56,),O PUNCT
56,.,O PUNCT
56,Fly,B-ACTION VERB
56,with,O ADP
56,caution,O NOUN
56,(,O PUNCT
56,Code,O NOUN
56,:,O PUNCT
56,30153,O NUM
56,),O PUNCT
57,Current,B-PARAMETER NOUN
57,elevation,O NOUN
57,above,O ADP
57,nnn,O X
57,.,O PUNCT
57,Fly,B-ACTION VERB
57,with,O ADP
57,caution,O NOUN
57,(,O PUNCT
57,Code,O NOUN
57,:,O PUNCT
57,30152,O NUM
57,),O PUNCT
58,Data,B-PARAMETER PROPN
58,Recorder,B-COMPONENT NOUN
58,File,O NOUN
58,Index,O NOUN
58,is,O AUX
58,nnn,O X
59,"""",O PUNCT
59,Detected,O VERB
59,side,O NOUN
59,/,O PUNCT
59,backward,O ADV
59,/,O PUNCT
59,forward,O ADV
59,shock,O NOUN
59,/,O PUNCT
59,possible,O ADJ
59,collision,O NOUN
59,",",O PUNCT
59,aircraft,O NOUN
59,is,O AUX
59,pitching,O VERB
59,/,O PUNCT
59,rolling,O VERB
59,sharply,O ADV
59,forward,O ADV
59,/,O PUNCT
59,backwards,O ADV
59,/,O PUNCT
59,left,O NOUN
59,/,O PUNCT
59,right,O NOUN
59,"""",O PUNCT
60,Disable,B-ACTION VERB
60,SD,B-PARAMETER PROPN
60,card,O NOUN
60,read,O VERB
60,and,O SCONJ
60,write,O VERB
60,protection,O NOUN
60,or,O SCONJ
60,change,O VERB
60,card,O NOUN
60,(,O PUNCT
60,Code,O NOUN
60,:,O PUNCT
60,10024,O NUM
60,),O PUNCT
61,Downlink,B-COMPONENT NOUN
61,data,O NOUN
61,connection,O NOUN
61,lost,O VERB
61,for,O ADP
61,nnn,O X
61,seconds,O NUM
62,Downward,O ADJ
62,vision,O NOUN
62,sensor,O NOUN
62,calibration,O NOUN
62,error,O NOUN
62,.,O PUNCT
62,Auto,B-ACTION PROPN
62,calibration,O NOUN
62,in,O ADP
62,progress,O NOUN
62,(,O PUNCT
62,Code,O NOUN
62,:,O PUNCT
62,180003,O NUM
62,),O PUNCT
63,Downward,O ADJ
63,vision,O NOUN
63,sensor,O NOUN
63,error,O NOUN
63,.,O PUNCT
63,Contact,B-ACTION NOUN
63,DJI,B-PARAMETER PROPN
63,Support,B-FUNCTION NOUN
63,for,O ADP
63,assistance,O NOUN
63,(,O PUNCT
63,Code,O NOUN
63,:,O PUNCT
63,180016,O NUM
63,),O PUNCT
64,Downward,O ADJ
64,vision,O NOUN
64,sensor,O NOUN
64,error,O NOUN
64,.,O PUNCT
64,Contact,B-ACTION NOUN
64,DJI,B-PARAMETER PROPN
64,Support,B-FUNCTION NOUN
64,for,O ADP
64,assistance,O NOUN
64,(,O PUNCT
64,Code,O NOUN
64,:,O PUNCT
64,180017,O NUM
64,),O PUNCT
65,Excessive,O ADJ
65,gimbal,O NOUN
65,vibration,O NOUN
65,.,O PUNCT
65,Check,B-ACTION VERB
65,whether,O SCONJ
65,gimbal,O NOUN
65,can,O AUX
65,rotate,O VERB
65,freely,O ADV
65,(,O PUNCT
65,Code,O NOUN
65,:,O PUNCT
65,40004,O NUM
65,),O PUNCT
66,Exiting,B-ACTION VERB
66,GPS,O NOUN
66,mode,O NOUN
66,:,O PUNCT
66,Unknown,B-STATE ADJ
66,Error,B-ISSUE NOUN
67,File,O NOUN
67,system,O NOUN
67,error,O NOUN
67,.,O PUNCT
67,Change,B-ACTION VERB
67,SD,B-PARAMETER PROPN
67,card,O NOUN
67,(,O PUNCT
67,Code,O NOUN
67,:,O PUNCT
67,10025,O NUM
67,),O PUNCT
68,Flight,B-ACTION NOUN
68,altitude,O NOUN
68,exceeds,O VERB
68,nnn,O X
68,.,O PUNCT
68,Aircraft,O NOUN
68,may,O AUX
68,be,O AUX
68,in,O ADP
68,violation,O NOUN
68,of,O ADP
68,local,O ADJ
68,laws,B-ISSUE NOUN
68,and,O SCONJ
68,regulations,B-ISSUE NOUN
68,.,O PUNCT
68,Check,B-ACTION VERB
68,and,O SCONJ
68,make,O VERB
68,sure,O ADJ
68,you,O PRON
68,have,O VERB
68,obtained,O VERB
68,proper,O ADJ
68,authorization,O NOUN
68,to,O ADP
68,fly,O VERB
68,in,O ADP
68,this,O PRON
68,airspace,B-COMPONENT NOUN
68,(,O PUNCT
68,Code,O NOUN
68,:,O PUNCT
68,3000006,O NUM
68,),O PUNCT
69,Forward,O ADV
69,vision,O NOUN
69,sensor,O NOUN
69,calibration,O NOUN
69,error,O NOUN
69,.,O PUNCT
69,Auto,B-ACTION PROPN
69,calibration,O NOUN
69,in,O ADP
69,progress,O NOUN
69,(,O PUNCT
69,Code,O NOUN
69,:,O PUNCT
69,180001,O NUM
69,),O PUNCT
70,Forward,O ADV
70,vision,O NOUN
70,sensor,O NOUN
70,error,O NOUN
70,.,O PUNCT
70,Contact,B-ACTION NOUN
70,DJI,B-PARAMETER PROPN
70,Support,B-FUNCTION NOUN
70,for,O ADP
70,assistance,O NOUN
70,(,O PUNCT
70,Code,O NOUN
70,:,O PUNCT
70,180018,O NUM
70,),O PUNCT
71,Gimbal,B-COMPONENT NOUN
71,calibrating,I-COMPONENT VERB
71,(,O PUNCT
71,Code,O NOUN
71,:,O PUNCT
71,30217,O NUM
71,),O PUNCT
72,Gimbal,B-COMPONENT NOUN
72,calibration,O NOUN
72,error,O NOUN
72,.,O PUNCT
72,Restart,B-ACTION VERB
72,aircraft,O NOUN
72,or,O SCONJ
72,contact,O NOUN
72,DJI,B-PARAMETER PROPN
72,Support,B-FUNCTION NOUN
72,if,O SCONJ
72,the,O PRON
72,issue,O NOUN
72,persists,O VERB
72,(,O PUNCT
72,Code,O NOUN
72,:,O PUNCT
72,40011,O NUM
72,),O PUNCT
73,Gimbal,B-COMPONENT NOUN
73,IMU,B-PARAMETER PROPN
73,data,O NOUN
73,error,O NOUN
73,.,O PUNCT
73,Contact,B-ACTION NOUN
73,DJI,B-PARAMETER PROPN
73,Support,B-FUNCTION NOUN
73,for,O ADP
73,assistance,O NOUN
73,(,O PUNCT
73,Code,O NOUN
73,:,O PUNCT
73,40021,O NUM
73,),O PUNCT
74,Gimbal,B-COMPONENT NOUN
74,motor,O NOUN
74,overloaded,I-STATE VERB
74,.,O PUNCT
74,Check,B-ACTION VERB
74,whether,O SCONJ
74,gimbal,O NOUN
74,can,O AUX
74,rotate,O VERB
74,freely,O ADV
74,(,O PUNCT
74,Code,O NOUN
74,:,O PUNCT
74,40003,O NUM
74,),O PUNCT
75,Gimbal,B-COMPONENT NOUN
75,stuck,I-STATE VERB
75,.,O PUNCT
75,Check,B-ACTION VERB
75,whether,O SCONJ
75,gimbal,O NOUN
75,lock,I-STATE NOUN
75,is,O AUX
75,removed,I-ACTION VERB
75,and,O SCONJ
75,ensure,O VERB
75,gimbal,O NOUN
75,can,O AUX
75,rotate,O VERB
75,freely,O ADV
75,(,O PUNCT
75,Code,O NOUN
75,:,O PUNCT
75,40002,O NUM
75,),O PUNCT
76,GPS,O NOUN
76,signal,O NOUN
76,weak,O ADJ
76,.,O PUNCT
76,Fly,B-ACTION VERB
76,with,O ADP
76,caution,O NOUN
76,.,O PUNCT
76,Aircraft,O NOUN
76,in,O ADP
76,Altitude,B-PARAMETER NOUN
76,Zone,B-COMPONENT NOUN
76,.,O PUNCT
76,Max,O ADJ
76,altitude,O NOUN
76,set,O VERB
76,to,O ADP
76,nnn,O X
76,(,O PUNCT
76,Code,O NOUN
76,:,O PUNCT
76,30014,O NUM
76,),O PUNCT
77,GPS,O NOUN
77,signal,O NOUN
77,weak,O ADJ
77,.,O PUNCT
77,Hovering,B-ISSUE PROPN
77,unstable,B-STATE ADJ
77,.,O PUNCT
77,Fly,B-ACTION VERB
77,with,O ADP
77,caution,O NOUN
77,(,O PUNCT
77,Code,O NOUN
77,:,O PUNCT
77,30002,O NUM
77,),O PUNCT
78,GPS,O NOUN
78,signal,O NOUN
78,weak,O ADJ
78,.,O PUNCT
78,Positioning,I-ACTION VERB
78,accuracy,B-PARAMETER NOUN
78,affected,O ADJ
78,.,O PUNCT
78,Fly,B-ACTION VERB
78,with,O ADP
78,caution,O NOUN
78,(,O PUNCT
78,Code,O NOUN
78,:,O PUNCT
78,30049,O NUM
78,),O PUNCT
79,Gyroscope,B-PARAMETER PROPN
79,initialization,O NOUN
79,failed,O VERB
79,.,O PUNCT
79,Restart,B-ACTION VERB
79,aircraft,O NOUN
79,(,O PUNCT
79,Code,O NOUN
79,:,O PUNCT
79,30045,O NUM
79,),O PUNCT
80,Home,B-COMPONENT NOUN
80,Point,B-STATE NOUN
80,updated,I-ACTION VERB
80,(,O PUNCT
80,Code,O NOUN
80,:,O PUNCT
80,120852,O NUM
80,),O PUNCT
81,Home,B-COMPONENT NOUN
81,Point,B-STATE NOUN
81,updated,I-ACTION VERB
81,.,O PUNCT
81,RTH,B-STATE PROPN
81,altitude,O NOUN
81,adjusted,I-ACTION VERB
81,to,O ADP
81,nnn,O X
81,(,O PUNCT
81,Code,O NOUN
81,:,O PUNCT
81,120852,O NUM
81,),O PUNCT
82,Home,B-COMPONENT NOUN
82,Point,B-STATE NOUN
82,updated,I-ACTION VERB
82,.,O PUNCT
82,RTH,B-STATE PROPN
82,altitude,O NOUN
82,adjusted,I-ACTION VERB
82,to,O ADP
82,nnn,O X
82,(,O PUNCT
82,Code,O NOUN
82,:,O PUNCT
82,3000001,O NUM
82,),O PUNCT
83,Homepoint,B-COMPONENT PROPN
83,updated,I-ACTION VERB
