Unnamed: 0,sentence_ID,words,labels
249,20,(,O PUNCT
250,20,Code,O NOUN
251,20,:,O PUNCT
252,20,30015,O NUM
253,20,),O PUNCT
254,21,Aircraft,O NOUN
255,21,in,O ADP
256,21,Attitude,B-PARAMETER NOUN
257,21,mode,O NOUN
258,21,.,O PUNCT
259,21,Unable,O ADJ
260,21,to,O ADP
261,21,hover,O VERB
262,21,.,O PUNCT
263,21,Fly,B-ACTION VERB
264,21,with,O ADP
265,21,caution,O NOUN
266,21,(,O PUNCT
267,21,Code,O NOUN
268,21,:,O PUNCT
269,21,30004,O NUM
270,21,),O PUNCT
271,22,Aircraft,O NOUN
272,22,in,O ADP
273,22,Authorization,B-ISSUE NOUN
274,22,Zone,B-COMPONENT NOUN
275,22,.,O PUNCT
276,22,Exit,B-ACTION NOUN
277,22,zone,O NOUN
278,22,promptly,O ADV
279,22,(,O PUNCT
280,22,Code,O NOUN
281,22,:,O PUNCT
282,22,190004,O NUM
283,22,),O PUNCT
284,23,Aircraft,O NOUN
285,23,in,O ADP
286,23,Authorization,B-ISSUE NOUN
287,23,Zone,B-COMPONENT NOUN
288,23,.,O PUNCT
289,23,Unable,O ADJ
290,23,to,O ADP
291,23,take,O VERB
292,23,off,O PART
293,23,before,O ADP
294,23,unlocking,O VERB
295,23,(,O PUNCT
296,23,Code,O NOUN
297,23,:,O PUNCT
298,23,3000005,O NUM
299,23,),O PUNCT
300,24,Aircraft,O NOUN
301,24,in,O ADP
302,24,Restricted,O ADJ
303,24,Zone,B-COMPONENT NOUN
304,24,.,O PUNCT
305,24,Unable,O ADJ
306,24,to,O ADP
307,24,take,O VERB
308,24,off,O PART
309,24,.,O PUNCT
310,24,Check,B-ACTION VERB
311,24,map,O NOUN
312,24,to,O ADP
313,24,find,O VERB
314,24,Recommended,I-STATE VERB
315,24,Zones,B-COMPONENT NOUN
316,24,(,O PUNCT
317,24,Code,O NOUN
318,24,:,O PUNCT
319,24,3000006,O NUM
320,24,),O PUNCT
321,25,"""",O PUNCT
322,25,Aircraft,O NOUN
323,25,max,O ADJ
324,25,power,O NOUN
325,25,load,O NOUN
326,25,reached,O VERB
327,25,.,O PUNCT
328,25,Decrease,B-ACTION VERB
329,25,altitude,O NOUN
330,25,and,O CCONJ
331,25,fly,O VERB
332,25,with,O ADP
333,25,caution,O NOUN
334,25,.,O PUNCT
335,25,If,O SCONJ
336,25,this,O PRON
337,25,issue,O NOUN
338,25,persists,O VERB
339,25,",",O PUNCT
340,25,land,O VERB
341,25,immediately,O ADV
342,25,(,O PUNCT
343,25,Code,O NOUN
344,25,:,O PUNCT
345,25,30168,O NUM
346,25,),O PUNCT
347,25,"""",O PUNCT
348,26,Aircraft,O NOUN
349,26,not,O ADV
350,26,in,O ADP
351,26,flight,O NOUN
352,26,.,O PUNCT
353,26,Vision,B-COMPONENT NOUN
354,26,system,O NOUN
355,26,and,O CCONJ
356,26,obstacle,O NOUN
357,26,sensing,O VERB
358,26,unavailable,O ADJ
359,26,(,O PUNCT
360,26,Code,O NOUN
361,26,:,O PUNCT
362,26,180059,O NUM
363,26,),O PUNCT
364,27,Aircraft,O NOUN
365,27,not,O ADV
366,27,in,O ADP
367,27,flight,O NOUN
368,27,.,O PUNCT
369,27,Vision,B-COMPONENT NOUN
370,27,systems,O NOUN
371,27,and,O CCONJ
372,27,obstacle,O NOUN
373,27,avoidance,O NOUN
374,27,disabled,O ADJ
375,27,(,O PUNCT
376,27,Code,O NOUN
377,27,:,O PUNCT
378,27,180059,O NUM
379,27,),O PUNCT
380,28,Aircraft,O NOUN
381,28,not,O ADV
382,28,linked,O ADJ
383,28,to,O ADP
384,28,phone,O NOUN
385,28,number,O NOUN
386,28,.,O PUNCT
387,28,Flight,B-ACTION NOUN
388,28,range,O NOUN
389,28,restricted,O ADJ
390,28,.,O PUNCT
391,28,Check,B-ACTION VERB
392,28,and,O CCONJ
393,28,link,O NOUN
394,28,phone,O NOUN
395,28,number,O NOUN
396,28,(,O PUNCT
397,28,Code,O NOUN
398,28,:,O PUNCT
399,28,3000004,O NUM
400,28,),O PUNCT
401,29,Aircraft,O NOUN
402,29,pitch,O NOUN
403,29,angle,O NOUN
404,29,too,O ADV
405,29,large,O ADJ
406,29,.,O PUNCT
407,29,Ensure,B-ACTION VERB
408,29,aircraft,O NOUN
409,29,is,O AUX
410,29,level,O NOUN
411,29,before,O ADP
412,29,taking,O VERB
413,29,off,O PART
414,29,(,O PUNCT
415,29,Code,O NOUN
416,29,:,O PUNCT
417,29,30087,O NUM
418,29,),O PUNCT
419,30,Aircraft,O NOUN
420,30,processor,O NOUN
421,30,overheated,O ADJ
422,30,.,O PUNCT
423,30,Automatically,O ADV
424,30,returning,O VERB
425,30,to,O ADP
426,30,home,O NOUN
427,30,(,O PUNCT
428,30,Code,O NOUN
429,30,:,O PUNCT
430,30,30185,O NUM
431,30,),O PUNCT
432,31,Aircraft,O NOUN
433,31,unable,O ADJ
434,31,to,O ADP
435,31,return,O VERB
436,31,to,O ADP
437,31,home,O NOUN
438,31,automatically,O ADV
439,31,.,O PUNCT
440,31,Lower,O ADJ
441,31,altitude,O NOUN
442,31,immediately,O ADV
443,31,and,O CCONJ
444,31,return,O VERB
445,31,to,O ADP
446,31,home,O NOUN
447,31,manually,O ADV
448,31,(,O PUNCT
449,31,Code,O NOUN
450,31,:,O PUNCT
451,31,120596,O NUM
452,31,),O PUNCT
453,32,AirSense,O PROPN
454,32,communication,O NOUN
455,32,error,O NOUN
456,32,.,O PUNCT
457,32,Unable,O ADJ
458,32,to,O ADP
459,32,display,O NOUN
460,32,nearby,O ADV
461,32,manned,O ADJ
462,32,aircraft,O NOUN
463,32,and,O CCONJ
464,32,anti,O ADJ
465,32,-,O PUNCT
466,32,collision,O NOUN
467,32,warnings,O NOUN
468,32,.,O PUNCT
469,32,Fly,B-ACTION VERB
470,32,with,O ADP
471,32,caution,O NOUN
472,32,(,O PUNCT
473,32,Code,O NOUN
474,32,:,O PUNCT
475,32,30247,O NUM
476,32,),O PUNCT
477,33,Altitude,B-PARAMETER NOUN
478,33,Zone,B-COMPONENT NOUN
479,33,nnn,O X
480,34,Barometer,B-COMPONENT NOUN
481,34,Dead,O ADJ
482,34,in,O ADP
483,34,Air,O NOUN
484,35,Barometer,B-COMPONENT NOUN
485,35,initialization,O NOUN
486,35,failed,O VERB
487,35,.,O PUNCT
488,35,Restart,B-ACTION VERB
489,35,aircraft,O NOUN
490,35,(,O PUNCT
491,35,Code,O NOUN
492,35,:,O PUNCT
493,35,30042,O NUM
494,35,),O PUNCT
495,36,Barometer,B-COMPONENT NOUN
496,36,initialization,O NOUN
497,36,failed,O VERB
498,36,.,O PUNCT
499,36,Restart,B-ACTION VERB
500,36,aircraft,O NOUN
501,36,(,O PUNCT
502,36,Code,O NOUN
503,36,:,O PUNCT
504,36,30047,O NUM
505,36,),O PUNCT
506,37,Battery,B-COMPONENT NOUN
507,37,error,O NOUN
508,37,.,O PUNCT
509,37,Aircraft,O NOUN
510,37,returning,O VERB
511,37,to,O ADP
512,37,home,O NOUN
513,37,automatically,O ADV
514,37,(,O PUNCT
515,37,Code,O NOUN
516,37,:,O PUNCT
517,37,110024,O NUM
518,37,),O PUNCT
519,38,Battery,B-COMPONENT NOUN
520,38,overheating,O ADJ
521,38,.,O PUNCT
522,38,Stop,B-ACTION VERB
523,38,flying,O VERB
524,38,and,O CCONJ
525,38,wait,O VERB
526,38,for,O ADP
527,38,battery,O NOUN
528,38,temperature,O NOUN
529,38,to,O ADP
530,38,return,O VERB
531,38,to,O ADP
532,38,normal,O ADJ
533,38,(,O PUNCT
534,38,Code,O NOUN
535,38,:,O PUNCT
536,38,110002,O NUM
537,38,),O PUNCT
538,39,Battery,B-COMPONENT NOUN
539,39,power,O NOUN
540,39,limit,O NOUN
541,39,will,O AUX
542,39,automatically,O ADV
543,39,reduce,O VERB
544,39,the,O PRON
545,39,aircraft,O NOUN
546,39,'s,O PUNCT
547,39,mobility,O NOUN
548,39,to,O ADP
549,39,ensure,O VERB
550,39,flight,O NOUN
551,39,safety,O NOUN
552,40,Battery,B-COMPONENT NOUN
553,40,power,O NOUN
554,40,restricted,O ADJ
555,40,.,O PUNCT
556,40,Aircraft,O NOUN
557,40,performance,O NOUN
558,40,decreased,O ADJ
559,40,to,O ADP
560,40,ensure,O VERB
561,40,flight,O NOUN
562,40,safety,O NOUN
563,40,.,O PUNCT
564,40,Return,B-ACTION VERB
565,40,to,O ADP
566,40,home,O NOUN
567,40,promptly,O ADV
568,40,(,O PUNCT
569,40,Code,O NOUN
570,40,:,O PUNCT
571,40,110013,O NUM
572,40,),O PUNCT
573,41,Battery,B-COMPONENT NOUN
574,41,temperature,O NOUN
575,41,too,O ADV
576,41,low,O ADJ
577,41,.,O PUNCT
578,41,Fly,B-ACTION VERB
579,41,with,O ADP
580,41,caution,O NOUN
581,41,(,O PUNCT
582,41,Code,O NOUN
583,41,:,O PUNCT
584,41,110023,O NUM
585,41,),O PUNCT
586,42,Battery,B-COMPONENT NOUN
587,42,:,O PUNCT
588,42,Battery,B-COMPONENT NOUN
589,42,Error,B-ISSUE NOUN
590,42,.,O PUNCT
591,42,Return,B-ACTION VERB
592,42,home,O NOUN
593,42,and,O CCONJ
594,42,land,O VERB
595,42,soon,O ADV
596,42,.,O PUNCT
597,42,View,B-COMPONENT NOUN
598,42,the,O PRON
599,42,checklist,O NOUN
600,42,after,O ADP
601,42,landing,O NOUN
602,43,Camera,B-COMPONENT NOUN
603,43,not,O ADV
604,43,calibrated,I-ACTION ADP
605,43,.,O PUNCT
606,43,Image,B-COMPONENT NOUN
607,43,quality,O NOUN
608,43,affected,O ADJ
609,43,.,O PUNCT
610,43,Contact,B-ACTION NOUN
611,43,DJI,B-PARAMETER PROPN
612,43,Support,B-FUNCTION NOUN
613,43,for,O ADP
614,43,assistance,O NOUN
615,43,(,O PUNCT
616,43,Code,O NOUN
617,43,:,O PUNCT
618,43,10016,O NUM
619,43,),O PUNCT
620,44,Camera,B-COMPONENT NOUN
621,44,RCAM,B-STATE PROPN
622,44,not,O ADV
623,44,connected,O ADJ
624,44,.,O PUNCT
625,44,Image,B-COMPONENT NOUN
626,44,quality,O NOUN
627,44,affected,O ADJ
628,44,.,O PUNCT
629,44,Contact,B-ACTION NOUN
630,44,DJI,B-PARAMETER PROPN
631,44,Support,B-FUNCTION NOUN
632,44,for,O ADP
633,44,assistance,O NOUN
634,44,(,O PUNCT
635,44,Code,O NOUN
636,44,:,O PUNCT
637,44,10018,O NUM
638,44,),O PUNCT
639,45,Check,B-ACTION VERB
640,45,whether,O SCONJ
641,45,the,O PRON
642,45,propellers,O NOUN
643,45,are,O AUX
644,45,attached,O ADJ
645,45,to,O ADP
646,45,the,O PRON
647,45,correct,O ADJ
648,45,motors,O NOUN
649,45,based,O ADP
650,45,on,O PART
651,45,their,O PRON
652,45,markings,O NOUN
653,45,.,O PUNCT
654,45,Incorrect,O ADJ
655,45,installation,O NOUN
656,45,will,O AUX
657,45,cause,O VERB
658,45,the,O PRON
659,45,aircraft,O NOUN
660,45,to,O ADP
661,45,roll,O NOUN
662,45,over,O ADP
663,45,during,O ADP
664,45,takeoff,O NOUN
665,45,(,O PUNCT
666,45,Code,O NOUN
667,45,:,O PUNCT
668,45,30251,O NUM
669,45,),O PUNCT
670,46,Compass,B-COMPONENT NOUN
671,46,Error,B-ISSUE NOUN
672,47,Compass,B-COMPONENT NOUN
673,47,error,O NOUN
674,47,.,O PUNCT
675,47,Ensure,B-ACTION VERB
676,47,there,O PRON
677,47,are,O AUX
678,47,no,O PART
679,47,metal,O ADJ
680,47,or,O CCONJ
681,47,magnetic,O ADJ
682,47,objects,O NOUN
683,47,near,O ADP
684,47,the,O PRON
685,47,aircraft,O NOUN
686,47,and,O CCONJ
687,47,calibrate,O VERB
688,47,it,O PRON
689,47,before,O ADP
690,47,use,O VERB
691,47,(,O PUNCT
692,47,Code,O NOUN
693,47,:,O PUNCT
694,47,30060,O NUM
695,47,),O PUNCT
696,48,Compass,B-COMPONENT NOUN
697,48,initialization,O NOUN
698,48,failed,O VERB
699,48,.,O PUNCT
700,48,Restart,B-ACTION VERB
701,48,aircraft,O NOUN
702,48,(,O PUNCT
703,48,Code,O NOUN
704,48,:,O PUNCT
705,48,30063,O NUM
706,48,),O PUNCT
707,49,Critical,O ADJ
708,49,Low,O ADJ
709,49,Battery,B-COMPONENT NOUN
710,49,(,O PUNCT
711,49,Code,O NOUN
712,49,:,O PUNCT
713,49,30032,O NUM
714,49,),O PUNCT
715,50,Critical,O ADJ
716,50,Low,O ADJ
717,50,Battery,B-COMPONENT NOUN
718,50,(,O PUNCT
719,50,Code,O NOUN
720,50,:,O PUNCT
721,50,30183,O NUM
722,50,),O PUNCT
723,51,Critical,O ADJ
724,51,low,O ADJ
725,51,battery,O NOUN
726,51,voltage,O NOUN
727,51,(,O PUNCT
728,51,Code,O NOUN
729,51,:,O PUNCT
730,51,30035,O NUM
731,51,),O PUNCT
732,52,Critical,O ADJ
733,52,low,O ADJ
734,52,battery,O NOUN
735,52,.,O PUNCT
736,52,Aircraft,O NOUN
737,52,in,O ADP
738,52,Auto,B-ACTION PROPN
739,52,Power,B-PARAMETER NOUN
740,52,Off,O PART
741,52,Protection,B-PARAMETER NOUN
742,52,.,O PUNCT
743,52,Forced,O ADJ
744,52,landing,O NOUN
745,52,in,O ADP
746,52,progress,O NOUN
747,52,(,O PUNCT
748,52,Code,O NOUN
749,52,:,O PUNCT
750,52,110014,O NUM
751,52,),O PUNCT
752,53,Critical,O ADJ
753,53,low,O ADJ
754,53,battery,O NOUN
755,53,.,O PUNCT
756,53,Aircraft,O NOUN
757,53,landing,O NOUN
758,53,automatically,O ADV
759,53,(,O PUNCT
760,53,Code,O NOUN
761,53,:,O PUNCT
762,53,30033,O NUM
763,53,),O PUNCT
764,54,Critical,O ADJ
765,54,low,O ADJ
766,54,battery,O NOUN
767,54,.,O PUNCT
768,54,Return,B-ACTION VERB
769,54,to,O ADP
770,54,home,O NOUN
771,54,or,O CCONJ
772,54,land,O VERB
773,54,promptly,O ADV
774,55,Critical,O ADJ
775,55,low,O ADJ
776,55,battery,O NOUN
777,55,.,O PUNCT
778,55,Unable,O ADJ
779,55,to,O ADP
780,55,take,O VERB
781,55,off,O PART
782,55,.,O PUNCT
783,55,Recharge,B-ACTION VERB
784,55,promptly,O ADV
785,55,(,O PUNCT
786,55,Code,O NOUN
787,55,:,O PUNCT
788,55,30032,O NUM
789,55,),O PUNCT
790,56,Current,B-PARAMETER NOUN
791,56,elevation,O NOUN
792,56,above,O ADP
793,56,nnn,O X
794,56,(,O PUNCT
795,56,nnn,O X
796,56,),O PUNCT
797,56,.,O PUNCT
798,56,Fly,B-ACTION VERB
799,56,with,O ADP
800,56,caution,O NOUN
801,56,(,O PUNCT
802,56,Code,O NOUN
803,56,:,O PUNCT
804,56,30153,O NUM
805,56,),O PUNCT
806,57,Current,B-PARAMETER NOUN
807,57,elevation,O NOUN
808,57,above,O ADP
809,57,nnn,O X
810,57,.,O PUNCT
811,57,Fly,B-ACTION VERB
812,57,with,O ADP
813,57,caution,O NOUN
814,57,(,O PUNCT
815,57,Code,O NOUN
816,57,:,O PUNCT
817,57,30152,O NUM
818,57,),O PUNCT
819,58,Data,B-PARAMETER PROPN
820,58,Recorder,B-COMPONENT NOUN
821,58,File,O NOUN
822,58,Index,O NOUN
823,58,is,O AUX
824,58,nnn,O X
825,59,"""",O PUNCT
826,59,Detected,O VERB
827,59,side,O NOUN
828,59,/,O PUNCT
829,59,backward,O ADV
830,59,/,O PUNCT
831,59,forward,O ADV
832,59,shock,O NOUN
833,59,/,O PUNCT
834,59,possible,O ADJ
835,59,collision,O NOUN
836,59,",",O PUNCT
837,59,aircraft,O NOUN
838,59,is,O AUX
839,59,pitching,O VERB
840,59,/,O PUNCT
841,59,rolling,O VERB
842,59,sharply,O ADV
843,59,forward,O ADV
844,59,/,O PUNCT
845,59,backwards,O ADV
846,59,/,O PUNCT
847,59,left,O NOUN
848,59,/,O PUNCT
849,59,right,O NOUN
850,59,"""",O PUNCT
851,60,Disable,B-ACTION VERB
852,60,SD,B-PARAMETER PROPN
853,60,card,O NOUN
854,60,read,O VERB
855,60,and,O CCONJ
856,60,write,O VERB
857,60,protection,O NOUN
858,60,or,O CCONJ
859,60,change,O VERB
860,60,card,O NOUN
861,60,(,O PUNCT
862,60,Code,O NOUN
863,60,:,O PUNCT
864,60,10024,O NUM
865,60,),O PUNCT
866,61,Downlink,B-COMPONENT NOUN
867,61,data,O NOUN
868,61,connection,O NOUN
869,61,lost,O VERB
870,61,for,O ADP
871,61,nnn,O X
872,61,seconds,O NUM
873,62,Downward,O ADJ
874,62,vision,O NOUN
875,62,sensor,O NOUN
876,62,calibration,O NOUN
877,62,error,O NOUN
878,62,.,O PUNCT
879,62,Auto,B-ACTION PROPN
880,62,calibration,O NOUN
881,62,in,O ADP
882,62,progress,O NOUN
883,62,(,O PUNCT
884,62,Code,O NOUN
885,62,:,O PUNCT
886,62,180003,O NUM
887,62,),O PUNCT
888,63,Downward,O ADJ
889,63,vision,O NOUN
890,63,sensor,O NOUN
891,63,error,O NOUN
892,63,.,O PUNCT
893,63,Contact,B-ACTION NOUN
894,63,DJI,B-PARAMETER PROPN
895,63,Support,B-FUNCTION NOUN
896,63,for,O ADP
897,63,assistance,O NOUN
898,63,(,O PUNCT
899,63,Code,O NOUN
900,63,:,O PUNCT
901,63,180016,O NUM
902,63,),O PUNCT
903,64,Downward,O ADJ
904,64,vision,O NOUN
905,64,sensor,O NOUN
906,64,error,O NOUN
907,64,.,O PUNCT
908,64,Contact,B-ACTION NOUN
909,64,DJI,B-PARAMETER PROPN
910,64,Support,B-FUNCTION NOUN
911,64,for,O ADP
912,64,assistance,O NOUN
913,64,(,O PUNCT
914,64,Code,O NOUN
915,64,:,O PUNCT
916,64,180017,O NUM
917,64,),O PUNCT
918,65,Excessive,O ADJ
919,65,gimbal,O NOUN
920,65,vibration,O NOUN
921,65,.,O PUNCT
922,65,Check,B-ACTION VERB
923,65,whether,O SCONJ
924,65,gimbal,O NOUN
925,65,can,O AUX
926,65,rotate,O VERB
927,65,freely,O ADV
928,65,(,O PUNCT
929,65,Code,O NOUN
930,65,:,O PUNCT
931,65,40004,O NUM
932,65,),O PUNCT
933,66,Exiting,B-ACTION VERB
934,66,GPS,O NOUN
935,66,mode,O NOUN
936,66,:,O PUNCT
937,66,Unknown,B-STATE ADJ
938,66,Error,B-ISSUE NOUN
939,67,File,O NOUN
940,67,system,O NOUN
941,67,error,O NOUN
942,67,.,O PUNCT
943,67,Change,B-ACTION VERB
944,67,SD,B-PARAMETER PROPN
945,67,card,O NOUN
946,67,(,O PUNCT
947,67,Code,O NOUN
948,67,:,O PUNCT
949,67,10025,O NUM
950,67,),O PUNCT
951,68,Flight,B-ACTION NOUN
952,68,altitude,O NOUN
953,68,exceeds,O VERB
954,68,nnn,O X
955,68,.,O PUNCT
956,68,Aircraft,O NOUN
957,68,may,O AUX
958,68,be,O AUX
959,68,in,O ADP
960,68,violation,O NOUN
961,68,of,O ADP
962,68,local,O ADJ
963,68,laws,B-ISSUE NOUN
964,68,and,O CCONJ
965,68,regulations,B-ISSUE NOUN
966,68,.,O PUNCT
967,68,Check,B-ACTION VERB
968,68,and,O CCONJ
969,68,make,O VERB
970,68,sure,O ADJ
971,68,you,O PRON
972,68,have,O VERB
973,68,obtained,O VERB
974,68,proper,O ADJ
975,68,authorization,O NOUN
976,68,to,O ADP
977,68,fly,O VERB
978,68,in,O ADP
979,68,this,O PRON
980,68,airspace,B-COMPONENT NOUN
981,68,(,O PUNCT
982,68,Code,O NOUN
983,68,:,O PUNCT
984,68,3000006,O NUM
985,68,),O PUNCT
986,69,Forward,O ADV
987,69,vision,O NOUN
988,69,sensor,O NOUN
989,69,calibration,O NOUN
990,69,error,O NOUN
991,69,.,O PUNCT
992,69,Auto,B-ACTION PROPN
993,69,calibration,O NOUN
994,69,in,O ADP
995,69,progress,O NOUN
996,69,(,O PUNCT
997,69,Code,O NOUN
998,69,:,O PUNCT
999,69,180001,O NUM
1000,69,),O PUNCT
1001,70,Forward,O ADV
1002,70,vision,O NOUN
1003,70,sensor,O NOUN
1004,70,error,O NOUN
1005,70,.,O PUNCT
1006,70,Contact,B-ACTION NOUN
1007,70,DJI,B-PARAMETER PROPN
1008,70,Support,B-FUNCTION NOUN
1009,70,for,O ADP
1010,70,assistance,O NOUN
1011,70,(,O PUNCT
1012,70,Code,O NOUN
1013,70,:,O PUNCT
1014,70,180018,O NUM
1015,70,),O PUNCT
1016,71,Gimbal,B-COMPONENT NOUN
1017,71,calibrating,I-COMPONENT VERB
1018,71,(,O PUNCT
1019,71,Code,O NOUN
1020,71,:,O PUNCT
1021,71,30217,O NUM
1022,71,),O PUNCT
1023,72,Gimbal,B-COMPONENT NOUN
1024,72,calibration,O NOUN
